index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
131,conf/icarcv,2669.0,,11.0,7622.0,B1,,,,,,,,,,,,,,,80.0,,82.0,,,,,,,,,,,,,,,,,,96.0,,
132,conf/bmei,2071.0,,14.0,1405.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
133,conf/racs,326.0,,7.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,homepages/35,11057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,journals/cssc,1144.0,,,3394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,journals/lgrs,1469.0,,,2481.0,,,,,,,,,,,,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,
137,conf/amcis,6236.0,,22.0,17319.0,B1,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,703.0,,,,,,,28.0,
138,conf/icic,2892.0,,15.0,4937.0,,43.0,,,,,,46.0,,,,,,,,,,,,,,,,42.0,,,44.0,,,,,,,14.0,,,,43.0
139,journals/pami,5073.0,46.0,,667087.0,A1,,1616.0,100.0,,,,44.0,,1693.0,1693.0,34.0,,1693.0,,69.0,,606.0,,453.0,,,100.0,25.0,,,53.0,,23.0,,11.0,,,,,207.0,,
140,conf/icnc,3589.0,,15.0,5272.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0
141,journals/ijprai,1820.0,,,29334.0,B1,,137.0,,,,,,,97.0,97.0,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,
142,journals/ijdsn,1667.0,,,3312.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,journals/entropy,1452.0,,24.0,7402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,journals/ijbis,479.0,,,852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,conf/ccpr,196.0,,8.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,journals/isf,727.0,,26.0,13007.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,
147,conf/cscwd,2137.0,,13.0,4845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
148,conf/wocc,285.0,,11.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
