index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
168,conf/ceemas,270.0,,,2423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,journals/integration,954.0,,38.0,6860.0,B2,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
170,conf/igarss,13453.0,,20.0,19429.0,B1,,,,,,56.0,,,,,53.0,25.0,,25.0,55.0,,59.0,,45.0,,,,80.0,,,107.0,,,,,,,,,,,46.0
171,conf/forte,860.0,,,11269.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,journals/jcit,392.0,,20.0,559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,conf/csreaSAM,759.0,,7.0,1806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,journals/jbcb,732.0,,19.0,9734.0,B1,122.0,,,,,,130.0,,,,,,,,,,,,,,,,113.0,,,81.0,,,,,,,25.0,,,,
175,journals/imst,976.0,,,32868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,journals/siamads,451.0,,24.0,3398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,conf/bcb,656.0,,,588.0,B4,,,,,,,,,,,,,,,,,,,,,,,78.0,,,88.0,,,,,,,7.0,,,,
178,conf/fskd,4860.0,,14.0,5009.0,B2,,,,,,,,,,,39.0,6.0,,6.0,,,,,,,,,32.0,,,49.0,,,,,,,,,,,48.0
179,conf/ijcnn,5629.0,,,15630.0,A2,,,,,,,,,,,,,,,,,,,42.0,,,,24.0,,,,,,,34.0,,,6.0,,53.0,,28.0
180,journals/mva,1129.0,,,21489.0,B1,,111.0,,,,,,,119.0,119.0,,,119.0,,23.0,,59.0,,,,,,,,,,,,,,,,,,,,
181,conf/rskt,762.0,,17.0,2237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
182,conf/icicic,528.0,,10.0,1219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,conf/icis,3669.0,,25.0,31539.0,,,,41.0,,,,,,,,,,,,,75.0,,,,,,41.0,,,,,,,485.0,,,,,,,79.0,
184,conf/cikm,4333.0,968.0,,72291.0,A1,362.0,,,,634.0,,350.0,,,,132.0,,,,,,,,,,,,68.0,,,470.0,1217.0,,,,,,4.0,,60.0,,
185,conf/ideal,1345.0,,10.0,3507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,journals/bc,2112.0,,,50379.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,
187,journals/ieicet,16941.0,,,18868.0,,43.0,,,181.0,,124.0,37.0,,,,62.0,190.0,,190.0,26.0,,31.0,,206.0,117.0,111.0,,44.0,111.0,,50.0,,133.0,,,,127.0,,,51.0,,718.0
188,conf/emeit,1237.0,,7.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,journals/siamis,425.0,,36.0,5889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,conf/isip,148.0,,36.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,conf/apweb,1185.0,53.0,,3115.0,B2,46.0,,,,74.0,,,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,,,,26.0
192,journals/oms,514.0,,20.0,4810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,
193,conf/vcip,1157.0,,9.0,4164.0,B1,,,,,,,,,,,,10.0,,10.0,,,,,74.0,,,,,,,,,,,,,,,,,,
194,conf/cvpr,6874.0,78.0,118.0,379400.0,A1,53.0,2016.0,,,,,78.0,,3458.0,3458.0,22.0,,3458.0,,154.0,,634.0,,349.0,,,,31.0,,,77.0,92.0,,,16.0,,,,,353.0,,
195,journals/mta,2236.0,43.0,28.0,17302.0,B2,35.0,,,,41.0,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,
196,conf/icnp,860.0,,22.0,26679.0,A1,,,171.0,,,251.0,,,,,,,,,,,,,,,287.0,,,287.0,,,,,,,,186.0,,,,,
197,conf/wimbi,30.0,,,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,journals/bmcbi,7074.0,,73.0,136587.0,A1,786.0,,,,43.0,,807.0,,,,44.0,,,,,,,,,,,,1505.0,,,1083.0,,,,,,,375.0,,53.0,,
199,conf/lanman,284.0,,,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,journals/asc,2855.0,,,28538.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,
201,conf/trustcom,678.0,,12.0,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,conf/vnc,216.0,,17.0,356.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,conf/ibpria,814.0,,,3127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,conf/isnn,3366.0,,11.0,5670.0,,,,,,,,,,,,,14.0,,14.0,,,,,,,,,34.0,,,53.0,,,,,,,,,,,25.0
205,conf/wts,529.0,,,679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,conf/icycs,534.0,,,773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,conf/cso,834.0,,13.0,431.0,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,
208,conf/avbpa,339.0,,,12707.0,A2,,69.0,,,,,,,69.0,69.0,,,69.0,,,,33.0,,48.0,,,,,,,,,,,,,,,,,,
209,journals/appml,3911.0,,,25798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,conf/ausai,1424.0,,,7266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,conf/icccn,2399.0,,20.0,19747.0,B1,,,92.0,,,256.0,,,,,,,,,,,,,,105.0,270.0,,,270.0,,,,,,,,108.0,,,,,54.0
212,journals/chinaf,2127.0,,,6509.0,,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,20.0,,,,,,,,,111.0
213,conf/icira,1120.0,,9.0,915.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,journals/jifs,1534.0,,14.0,4981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,conf/wcre,884.0,,19.0,15333.0,A2,,,,,,,,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,conf/gecco,5746.0,,,92697.0,A1,,,,,,,,48.0,,,,6.0,,6.0,,,,,,,,,38.0,,,,,,,52.0,58.0,,,,,,
217,conf/acpr,339.0,,6.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,journals/jcp,2260.0,,18.0,2514.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
219,journals/soco,1974.0,,57.0,28145.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,
220,conf/icmlc,1904.0,,17.0,907.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,journals/ijia,259.0,,,495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,conf/gem,162.0,,4.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,conf/isia,111.0,,3.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,conf/dasc,590.0,,16.0,857.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,conf/icsm,1534.0,,,26437.0,A2,,,,,,,,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,conf/IEEEcca,1918.0,,16.0,2664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,
227,conf/aaai,7555.0,251.0,37.0,234650.0,A1,135.0,100.0,,,110.0,,222.0,,140.0,140.0,314.0,,140.0,,138.0,,155.0,52.0,,,,,40.0,,,298.0,287.0,,22.0,193.0,,,10.0,65.0,208.0,65.0,41.0
228,conf/isbi,4174.0,,26.0,14072.0,B1,,135.0,,,,,,,244.0,244.0,,7.0,244.0,7.0,,,,,124.0,,,,40.0,,20.0,,,,,,,,,,,,
229,conf/pakdd,1930.0,52.0,,14336.0,,79.0,,,,175.0,,181.0,,,,,,,,,,,,,,,,45.0,,,239.0,228.0,,,,,,,,,,
230,conf/geoinformatics,904.0,,12.0,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,journals/cin,242.0,,,2806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,conf/icee,1174.0,,10.0,250.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,journals/ajiips,148.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,conf/apscc,767.0,,14.0,2316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,journals/tii,946.0,,,6689.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,conf/hicss,11101.0,56.0,38.0,101629.0,A1,38.0,,113.0,,,,,106.0,,,,,,,,104.0,,98.0,,,,109.0,,,29.0,,58.0,,3043.0,,54.0,,15.0,100.0,,123.0,
237,conf/icsoft,1153.0,,11.0,1067.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,conf/gcc,1337.0,,12.0,4126.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,conf/edutainment,610.0,,10.0,1002.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,conf/codes,837.0,,21.0,11576.0,,,,,,,,,,,,,,,,,,,,,57.0,,37.0,,,,,,,,,,,,,,,
241,journals/jcphy,4920.0,,,61020.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,
242,conf/icdcsw,1351.0,,,11410.0,,,,,,,93.0,,,,,,,,,,,,,,,77.0,,,77.0,,,,,,,,,,,,,
243,conf/waim,1256.0,38.0,11.0,2798.0,B2,46.0,,,,157.0,,52.0,,,,,,,,,,,,,,,,,,,52.0,162.0,,,,,,,,,,
244,conf/cisse,607.0,,,1056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,conf/IEEEcit,1977.0,,19.0,4312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
246,conf/icmcs,7286.0,131.0,23.0,55698.0,B3,79.0,212.0,79.0,,83.0,91.0,,,419.0,419.0,41.0,38.0,419.0,38.0,,,135.0,27.0,591.0,,90.0,56.0,,90.0,20.0,63.0,210.0,33.0,,,,53.0,,26.0,,26.0,33.0
247,conf/sigir,3545.0,1895.0,49.0,205477.0,A1,251.0,,,,117.0,,140.0,,,,194.0,,,,,43.0,,32.0,,,,,,,21.0,174.0,1733.0,,,,,,,42.0,55.0,42.0,
248,journals/tvlsi,3004.0,,,46874.0,A1,,,,,,,,,,,,194.0,,194.0,,,,,,286.0,,75.0,,,16.0,,,,,,,,,,,,
249,conf/apsys,70.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,conf/memocode,317.0,,,1454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,journals/aei,975.0,,,14987.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,journals/ijdls,58.0,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,journals/siamsc,1790.0,,42.0,41616.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
254,journals/jsyml,4304.0,,,69773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,journals/mcm,3045.0,,43.0,22454.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,
256,conf/vmcai,393.0,,21.0,8789.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,journals/tits,1386.0,,,25810.0,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,
258,conf/biostec,2090.0,,16.0,1488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
259,conf/tase,320.0,,,1851.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,conf/iconas,230.0,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,conf/lsms,346.0,,7.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,journals/tase,864.0,,,6339.0,,,,,,,,,,,,,,,,115.0,,113.0,,,,,,,,,,,,,,,,,,36.0,,
263,journals/jnca,1302.0,,,11854.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,
264,conf/icnsc,1212.0,,14.0,1412.0,B3,,,,,,,,,,,,,,,30.0,,32.0,,,,,,,,,,,,,,25.0,,,,,,
265,journals/sivp,601.0,,13.0,1809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,conf/mobihoc,681.0,,,40138.0,A1,,,42.0,,,245.0,,,,,,,,,,,,,,,242.0,,,242.0,,,,,,,,58.0,,,,,
267,conf/apwcs,104.0,,6.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,conf/icig,687.0,,11.0,2504.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,journals/combinatorics,2699.0,,,23217.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
270,conf/emmcvpr,348.0,,,6541.0,,,75.0,,,,,,,100.0,100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
271,conf/date,5135.0,,41.0,52731.0,A1,,,,,,,,,,,,137.0,,137.0,,,,,,470.0,,156.0,,,50.0,,,,,,,,,,,,42.0
272,conf/miccai,4743.0,,32.0,59627.0,A1,,209.0,,,,,,,540.0,540.0,,,540.0,,162.0,,190.0,,,,,,,,34.0,,,,,,,,,,,,
273,journals/cma,4572.0,,118.0,33510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,
274,conf/cibcb,529.0,,9.0,1470.0,B3,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,
275,journals/apal,2010.0,,21.0,25512.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,conf/cyberc,354.0,,10.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,conf/msr,393.0,,25.0,3711.0,B1,,,,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,journals/esticas,250.0,,,318.0,,,,,,,,,,,,,25.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
279,journals/tim,5877.0,,,64244.0,A2,,,,,,,,,,,,36.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
280,journals/siamma,1295.0,,30.0,17645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,journals/ijcat,1091.0,,12.0,2251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,conf/iwqos,485.0,,16.0,4828.0,A2,,,,,,121.0,,,,,,,,,,,,,,,133.0,,,133.0,,,,,,,,38.0,,,,,
283,journals/jise,1761.0,,13.0,4519.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,conf/cse,1339.0,,28.0,2336.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,conf/skg,839.0,,9.0,1459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,conf/csie,1069.0,,12.0,899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,journals/fcsc,501.0,,,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,journals/sigmod,1568.0,53.0,21.0,46055.0,A1,76.0,,,,478.0,,,,,,,,,,,126.0,,,,,,,,,,41.0,167.0,,,,,,,,,,
289,journals/trob,2998.0,,,227400.0,A1,,71.0,,,,,,,69.0,69.0,,,69.0,,913.0,,867.0,,,,,,,,,,,,,,,,,,59.0,,
290,journals/nca,2143.0,,22.0,14690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,conf/ecmr,164.0,,,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,conf/fast,354.0,,37.0,10728.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,conf/iros,13604.0,,45.0,126537.0,A1,,137.0,,,,,,,221.0,221.0,,8.0,221.0,8.0,4189.0,,4106.0,,,,,,,,,,,,,81.0,,,,,81.0,,
294,conf/iscide,318.0,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,conf/ewsn,268.0,,,5901.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,conf/icca,1214.0,,12.0,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,
297,conf/acsac,868.0,,,26355.0,A1,,,,,,,,,,,,,,,,187.0,,,,,,,,,,,,,,,,,,,,,
298,journals/entcs,5431.0,,,62078.0,B1,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,conf/wkdd,501.0,,11.0,695.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,journals/imds,1040.0,,,37491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,conf/pkdd,1716.0,50.0,,25605.0,A2,82.0,,,,86.0,,183.0,,,,27.0,,,,,,,,,,,,28.0,,,210.0,103.0,,,,,,8.0,,73.0,,
302,conf/secon,900.0,,,11106.0,B1,,,43.0,,,200.0,,,,,,,,,,,,,,,191.0,,,191.0,,,,,,,,56.0,,,,,
303,journals/pnc,782.0,,12.0,5101.0,,,,,,,70.0,,,,,,,,,,,,,,,75.0,,,75.0,,,,,,,,56.0,,,,,
304,conf/mue,642.0,,10.0,1362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,journals/ijcm,2381.0,,,12757.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,conf/iccS,4457.0,,28.0,19295.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,222.0,,,,,,33.0,,,,,,
307,journals/dss,2302.0,58.0,50.0,56927.0,A1,,,79.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,272.0,,102.0,,,,,,
308,journals/orl,1945.0,,21.0,29366.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,,,,,
309,conf/iot,78.0,,,715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,conf/miar,253.0,,,1034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,journals/dm,11762.0,,29.0,98470.0,A2,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,124.0,,,26.0,,6.0,,,,
312,conf/nanonet,114.0,,,543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,conf/compsac,3169.0,,21.0,13894.0,A2,,,101.0,,,,,194.0,,,,,,,,,,,,,,66.0,,,,,58.0,,,,,,,,,,
314,journals/ijig,485.0,,,3776.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,journals/jcc,4376.0,,47.0,140430.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,
316,conf/icpr,8972.0,,29.0,82067.0,A1,,1007.0,65.0,,,,,,1144.0,1144.0,62.0,6.0,1144.0,6.0,83.0,,369.0,,391.0,,,67.0,40.0,,,,,,,,,,,,43.0,,
317,conf/scdm,66.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,conf/icebe,873.0,,12.0,2366.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,journals/candie,2239.0,,,25290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,
320,journals/jst,12.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,conf/icpp,3433.0,,22.0,53080.0,A2,,,137.0,,47.0,150.0,,,,,,,,,,,,,,747.0,150.0,335.0,,150.0,96.0,,,,,,,,,,,,
322,conf/amcc,3155.0,,,1632.0,,,,,,,,,,,,,,,,71.0,,64.0,,,,,,,,,,,,,,,,,,277.0,,
323,conf/www,4501.0,474.0,83.0,120253.0,A1,814.0,,57.0,28.0,328.0,,251.0,,43.0,43.0,77.0,,43.0,,,40.0,,39.0,,,51.0,,,51.0,,289.0,532.0,,,,,45.0,,49.0,55.0,49.0,
324,conf/vrml,475.0,,14.0,4216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,journals/jetai,647.0,,,12839.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,
326,conf/bibm,1611.0,32.0,15.0,1614.0,B4,80.0,,,,,,98.0,,,,,,,,,,,,,,,,171.0,,,176.0,54.0,,,,,,16.0,,,,
327,journals/behaviourIT,1033.0,,52.0,21287.0,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,57.0,,56.0,
328,journals/ijmtm,708.0,,,3823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,journals/apin,1115.0,,,17509.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,
330,conf/hpca,787.0,,42.0,26675.0,A1,,,48.0,,,,,,,,,,,,,,,,,301.0,,406.0,,,,,,,,,,,,,,,
331,journals/ets,1539.0,,,24178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,
332,conf/ACISicis,1222.0,,13.0,2038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,conf/swarm,779.0,,13.0,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,conf/graphite,278.0,,,2144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,conf/IEEEisic,377.0,,,636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,conf/gir,121.0,,,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,conf/icns,385.0,,14.0,1214.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,conf/ccnc,486.0,,25.0,247.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
339,conf/gis,1524.0,,29.0,12787.0,B1,,45.0,,,163.0,,,,,,,,,,,65.0,,,,,,,,,,,127.0,,,,,,,,,,
340,conf/cdve,458.0,,7.0,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,conf/jcis,672.0,,,2119.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,conf/cec,5323.0,,32.0,30161.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,
343,conf/interaction,272.0,,13.0,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,journals/jzusc,532.0,,,527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,conf/hci,10109.0,,25.0,15200.0,A2,,65.0,,,,,,,,,,,,,31.0,,32.0,103.0,,,,,,,,,,,36.0,21.0,,,,111.0,,113.0,
346,journals/iacr,8254.0,,,31689.0,,,,,2364.0,,,,,,,,,,,,731.0,,,,,,,,,,,,118.0,,,,,,,,,
347,journals/ar,1928.0,,,14683.0,,,,,,,,,,,,,,,,510.0,,509.0,,,,,,,,,,,,,12.0,,,,,,,
348,conf/csse,1583.0,,6.0,2682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,conf/uic,684.0,,12.0,1693.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,journals/gc,1673.0,,15.0,10367.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,journals/jcst,1904.0,,20.0,6719.0,B2,,,,,42.0,,41.0,,,,25.0,12.0,,12.0,,,,,,,,,30.0,,,45.0,68.0,,,,,,,,,,
352,journals/ijsysc,2501.0,,,24473.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,122.0,,
353,journals/ploscb,3878.0,,80.0,85175.0,,276.0,,,,,,279.0,,,,,,,,,,,,,,,,244.0,,,160.0,,,,,,,196.0,,98.0,,
354,books/crc/aggarwal13,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,journals/mj,2661.0,,26.0,10618.0,B1,,,,,,,,,,,,30.0,,30.0,,,,,,,,,,,,,,,,,,,6.0,,,,
356,journals/tip,5112.0,,,231992.0,A1,,267.0,,,,,,,455.0,455.0,,6.0,455.0,6.0,,,113.0,,637.0,,,,28.0,,,,,132.0,,,,,,,55.0,,
357,journals/ijwgs,209.0,,,1918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,journals/coap,1038.0,,,22064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,
359,conf/adma,849.0,,10.0,1820.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,conf/hpdc,1140.0,,,28992.0,A1,,,79.0,,,,,,,,,,,,,,,,,,,81.0,,,71.0,,,,,,,,,,,,
361,conf/sacmat,374.0,,23.0,10440.0,A1,,,,,42.0,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,
362,conf/IEEEscc,1243.0,,25.0,6506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,journals/jsea,270.0,,,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,conf/ispass,434.0,,20.0,3972.0,B1,,,,,,,,,,,,,,,,,,,,93.0,,131.0,,,,,,,,,,,,,,,
365,journals/ress,2506.0,,,38745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,
366,journals/tjs,1924.0,,,15395.0,B2,,,,,,,,,,,,,,,,,,,,90.0,,39.0,,,71.0,,,,,,,,4.0,,,,
367,conf/ithings,224.0,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
