,NameAZList,NameH1,ShortNameAZList,GSHindex
journals/istr,Security Technical Report (Information ...),Journal of Information Security and Applications,,
journals/isu,Information Services and Use,Information Services and Use,,7.0
journals/it,it - Information Technology,it - Information Technology,,11.0
journals/ita,Theoretical Informatics and Applications (RAIRO ),RAIRO - Theoretical Informatics and Applications,,
journals/itc,Information Technology and Control,Information Technology and Control,,11.0
journals/ited,Transactions on Education (INFORMS),INFORMS Transactions on Education,,
journals/itiis,Transactions on Internet and Information Systems (KSII),KSII Transactions on Internet and Information Systems,,
journals/itm,Management (Information Technology and ...),Information Technology and Management,,
journals/itp,Information Technology & People,Information Technology & People,,56.0
journals/itpro,IT Professional,IT Professional,,21.0
journals/itse,Smart Education (Interactive Technology and ...),Interactive Technology and Smart Education,,
journals/itsm,Transportation Systems Magazine (IEEE Intelligent ...),IEEE Intelligent Transportation Systems Magazine,,
journals/itssa,Transactions on Systems Science and Applications (International ...),International Transactions on Systems Science and Applications,,
journals/ivc,Vision Computing (Image and ...),Image and Vision Computing,,
journals/ivs,Visualization (Information ...),Information Visualization,,
journals/iwc,Interacting with Computers,Interacting with Computers (IWC),,
journals/ixda,IxD&A - Interaction Design & Architecture(s),IxD&A - Interaction Design & Architecture(s),,
journals/jacic,"Journal of Aerospace Computing, Information, and Communication",Journal of Aerospace Information Systems,,
journals/jaciii,Journal of Advanced Computational Intelligence and Intelligent Informatics,Journal of Advanced Computational Intelligence and Intelligent Informatics (JACIII),,
journals/jacm,Journal of the ACM,Journal of the ACM,,35.0
journals/jaif,Journal of Advances in Information Fusion,Journal of Advances in Information Fusion,,
journals/jaihc,Journal of Ambient Intelligence and Humanized Computing,Journal of Ambient Intelligence and Humanized Computing,,12.0
journals/jair,Journal of Artificial Intelligence Research,Journal of Artificial Intelligence Research (JAIR),,
journals/jais,Journal of the AIS,Journal of the AIS,,
journals/jaise,Smart Environments (Journal of Ambient Intelligence and ...),Journal of Ambient Intelligence and Smart Environments,,
journals/jal,Journal of Algorithms,Journal of Algorithms,,8.0
journals/jalc,"Journal of Automata, Languages and Combinatorics","Journal of Automata, Languages and Combinatorics",,
journals/jam,Mathematics (Journal of Applied ...),Journal of Applied Mathematics,,
journals/jamds,Mathematics and Decision Sciences (Journal of Applied ...),Advances in Decision Sciences,,
journals/jamia,Medical Informatics Association (Journal of the American ...),Journal of the American Medical Informatics Association (JAMIA),,
journals/jancl,Non-Classical Logics (Journal of Applied ...),Journal of Applied Non-Classical Logics,,
journals/japll,Logic (Journal of Applied ...),Journal of Applied Logic,,
journals/jar,Journal of Automated Reasoning,Journal of Automated Reasoning,,25.0
journals/jasis,Journal of the American Society for Information Science and Technology,Journal of the American Society for Information Science and Technology (JASIST),,
journals/jasss,Social Simulation (The Journal of Artificial Societies and ...),The Journal of Artificial Societies and Social Simulation,,
journals/jat,Journal of Approximation Theory,Journal of Approximation Theory,,18.0
journals/jatit,Theoretical and Applied Information Technology (Journal of ...),Journal of Theoretical and Applied Information Technology,,
journals/jbcb,Journal of Bioinformatics and Computational Biology,Journal of Bioinformatics and Computational Biology,,19.0
journals/jbcs,Journal of the Brazilian Computer Society,Journal of the Brazilian Computer Society,,11.0
journals/jc,Journal of Complexity,Journal of Complexity,,20.0
journals/jca,Journal of Cellular Automata,Journal of Cellular Automata,,9.0
journals/jcal,Learning (Journal of Computer Assisted ...),Journal of Computer Assisted Learning,,
journals/jcam,Mathematics (Journal of Computational and Applied ...),Journal of Computational and Applied Mathematics,,
journals/jcamd,Molecular Design (Journal of Computer-Aided ...),Journal of Computer-Aided Molecular Design,,
journals/jcb,Journal of Computational Biology,Journal of Computational Biology (JCB),,
journals/jcc,Journal of Computational Chemistry,Journal of Computational Chemistry,,47.0
journals/jcd,Journal of Computer Documentation (ACM),ACM Journal of Computer Documentation (JCD),,
journals/jce,Journal of Cryptographic Engineering,Journal of Cryptographic Engineering,,
journals/jche,Journal of Computing in Higher Education,Journal of Computing in Higher Education,,
journals/jcheminf,Journal of Cheminformatics,Journal of Cheminformatics,,23.0
journals/jcis,Journal of Computer Information Systems,Journal of Computer Information Systems,,24.0
journals/jcisd,Journal of Chemical Information and Modeling,Journal of Chemical Information and Modeling,,51.0
journals/jcise,Journal of Computing and Information Science in Engineering,Journal of Computing and Information Science and Engineering,,
journals/jcit,Journal of Convergence Information Technology,Journal of Convergence Information Technology,,20.0
journals/jcit-igi,Journal of Cases on Information Technology,Journal of Cases on Information Technology (JCIT),,
journals/jclc,Language Processing (International Journal of Asian ...),International Journal of Asian Language Processing,,
journals/jclinbioinf,Journal of Clinical Bioinformatics,Journal of Clinical Bioinformatics,,
journals/jcm,Journal of Communications,Journal of Communications,,19.0
journals/jcmc,Journal of Computer-Mediated Communication,Journal of Computer-Mediated Communication,,36.0
journals/jcmse,Journal of Computational Methods in Science and Engineering,Journal of Computational Methods in Science and Engineering,,
journals/jcmst,Teaching (Journal of Computers in Mathematics and Science ...),Journal of Computers in Mathematics and Science Teaching,,
journals/jcn,Journal of Communications and Networks,Journal of Communications and Networks,,16.0
journals/jcnc,Networks and Communications (Journal of Computer ...),Journal of Computer Networks and Communications,,
journals/jcns,Neuroscience (Journal of Computational ...),Journal of Computational Neuroscience,,
journals/jco,Optimization (Journal of Combinatorial ...),Journal of Combinatorial Optimization,,
journals/jcp,Journal of Computers,Journal of Computers,,18.0
journals/jcphy,Physics (Journal of Computational ...),Journal of Computational Physics,,
journals/jcrd,Journal of Computer Research and Development,Journal of Computer Research and Development,,
journals/jcs,Security (Journal of Computer ...),Journal of Computer Security,,
journals/jcsc,"Journal of Circuits, Systems, and Computers","Journal of Circuits, Systems, and Computers",,11.0
journals/jcse,Journal of Computing Science and Engineering,Journal of Computing Science and Engineering (JCSE),,
journals/jcss,Journal of Computer and System Sciences,Journal of Computer and System Sciences (JCSS),,
journals/jcst,Journal of Computer Science and Technology,Journal of Computer Science and Technology,,20.0
journals/jct,Journal of Combinatorial Theory,Journal of Combinatorial Theory,,23.0
journals/jda,Journal of Discrete Algorithms,Journal of Discrete Algorithms,,18.0
journals/jdcta,Journal of Digital Content Technology and its Applications,Journal of Digital Content Technology and its Applications,,
journals/jdfp,Journal of Digital Forensic Practice,Journal of Digital Forensic Practice,,
journals/jdfsl,"Security and Law (Journal of Digital Forensics, ...)","Journal of Digital Forensics, Security and Law",,
journals/jdi,Journal of Digital Imaging,Journal of Digital Imaging,,23.0
journals/jdim,Journal of Digital Information Management,Journal of Digital Information Management,,5.0
journals/jdiq,Quality (Journal of Data and Information ...),Journal of Data and Information Quality,,
journals/jdm,Journal of Database Management,Journal of Database Management,,9.0
journals/jds,Journal of Decision Systems,Journal of Decision Systems,,5.0
journals/jdwm,Journal of Data Warehousing and Mining (International ...),International Journal of Data Warehousing and Mining,,
journals/jea,Journal of Experimental Algorithmics (ACM),ACM Journal of Experimental Algorithmics (JEA),,
journals/jec,Journal of Embedded Computing,Journal of Embedded Computing,,
journals/jece,Journal of Electrical and Computer Engineering,Journal of Electrical and Computer Engineering,,12.0
journals/jeco,Journal of Electronic Commerce in Organizations,Journal of Electronic Commerce in Organizations (JECO),,
journals/jecr,Journal of Electronic Commerce Research,Journal of Electronic Commerce Research,,16.0
journals/jei,Journal of Electronic Imaging,Journal of Electronic Imaging,,20.0
journals/jeim,Journal of Enterprise Information Management,Journal of Enterprise Information Management,,24.0
journals/jemh,Multimedia and Hypermedia (Journal of Educational ...),Journal of Educational Multimedia and Hypermedia,,
journals/jeric,Journal of Educational Resources in Computing (ACM),ACM Transactions on Computing Education (TOCE),,
journals/jet,Journal of Economic Theory,Journal of Economic Theory,,45.0
journals/jetai,Journal of Experimental and Theoretical Artificial Intelligence,Journal of Experimental and Theoretical Artificial Intelligence (JETAI),,
journals/jetc,Journal on Emerging Technologies in Computing Systems (ACM),ACM Journal on Emerging Technologies in Computing Systems,,
journals/jflp,Logic Programming (Journal of Functional and ...),Journal of Functional and Logic Programming,,
journals/jfp,Journal of Functional Programming,Journal of Functional Programming,,16.0
journals/jfr,Robotics (Journal of Field ...),Journal of Field Robotics,,
journals/jfrea,Reasoning (Journal of Formalized ...),Journal of Formalized Reasoning,,
journals/jgaa,Journal of Graph Algorithms and Applications,Journal of Graph Algorithms and Applications,,
journals/jgim,Journal of Global Information Management,Journal of Global Information Management  (JGIM),,
journals/jgis,Journal of Geographic Information System,Journal of Geographic Information System,,9.0
journals/jgo,Optimization (Journal of Global ...),Journal of Global Optimization,,
journals/jgs,Journal of Geographical Systems,Journal of Geographical Systems,,16.0
journals/jgt,Journal of Graph Theory,Journal of Graph Theory,,19.0
journals/jgtools,Journal of Graphics Tools,"Journal of Graphics(, GPU, & Game) Tools",,
journals/jhsn,Journal of High Speed Networks,Journal of High Speed Networks,,
journals/jib,Journal of Integrative Bioinformatics,Journal of Integrative Bioinformatics,,12.0
journals/jicce,Journal of Information and Communication Convergence Engineering,Journal of Information and Communication Convergence Engineering,,
journals/jices,"Society (Journal of Information, Communication and Ethics in ...)","Journal of Information, Communication and Ethics in Society",,
journals/jid,Transactions of the SDPS,Journal of Integrated Design and Process Science,,
journals/jidm,Journal of Information and Data Management,Journal of Information and Data Management (JIDM),,
journals/jifs,Journal of Intelligent and Fuzzy Systems,Journal of Intelligent and Fuzzy Systems,,14.0
journals/jiis,Journal of Intelligent Information Systems,Journal of Intelligent Information Systems (JIIS),,
journals/jikm,Knowledge Management (Journal of Information & ...),Journal of Information & Knowledge Management,,
journals/jilp,Journal of Instruction-Level Parallelism,Journal of Instruction-Level Parallelism,,
journals/jilr,Learning Research (Journal of Interactive ...),Journal of Interactive Learning Research,,
journals/jilsa,Learning Systems and Applications (Journal of Intelligent ...),Journal of Intelligent Learning Systems and Applications JILSA,,
journals/jilt,"Law and Technology (Journal of Information, ...)",European Journal of Law and Technology (EJLT),,
journals/jim,Manufacturing (Journal of Intelligent ...),Journal of Intelligent Manufacturing,,
journals/jip,Journal of Information Processing,Journal of Information Processing,,15.0
journals/jips,Journal of Information Processing Systems (The ...),The Journal of Information Processing Systems,,
journals/jirs,Robotic Systems (Journal of Intelligent and ...),Journal of Intelligent and Robotic Systems,,
journals/jis,Journal of Information Science,Journal of Information Science,,27.0
journals/jisa,Journal of Internet Services and Applications,Journal of Internet Services and Applications,,
journals/jise,Journal of Information Science and Engineering,Journal of Information Science and Engineering,,13.0
journals/jisec,Security (Journal of Information ...),Journal of Information Security,,
journals/jisys,Journal of Information Systems,Journal of Information Systems,,33.0
journals/jit,Journal of Internet Technology,Journal of Internet Technology,,9.0
journals/jite,Journal of Information Technology Education,Journal of Information Technology Education,,17.0
journals/jitech,Journal of Information Technology,Journal of Information Technology,,27.0
journals/jitr,Research (Journal of Information Technology ...),Journal of Information Technology Research (JITR),,
journals/jitsr,Standards and Standardization Research (International Journal of IT ...),International Journal of IT Standards and Standardization Research,,
journals/jitt,Tourism (Journal of Information Technology & ...),Journal of Information Technology & Tourism,,
journals/jkm,Knowledge Management (Journal of ...),Journal of Knowledge Management,,
journals/jl,Logic and Algebraic Programming (The Journal of ...),Error 404: Not Found,,
journals/jlbs,Location Based Services (Journal of ...),Journal of Location Based Services,,
journals/jlm,Language Modelling (Journal of ...),Journal of Language Modelling,,
journals/jlms,London Mathematical Society (Journal of the ...),Journal of the London Mathematical Society,,
journals/jlp,Logic Programming (Journal of ...),Journal of Logic Programming,,
journals/jmb,Molecular Biology (Journal of ...),Journal of Molecular Biology,,
journals/jmc,Mathematical Cryptology (Journal of ...),Journal of Mathematical Cryptology,,
journals/jmis,Management Information Systems (Journal of ...),Journal of Management Information Systems,,
journals/jmiv,Mathematical Imaging and Vision (Journal of ...),Journal of Mathematical Imaging and Vision,,
journals/jmlr,Machine Learning Research (Journal of ...),Journal of Machine Learning Research,,
journals/jmm,Mobile Multimedia (Journal of ...),Journal of Mobile Multimedia,,
journals/jmm2,Multimedia (Journal of ...),Journal of Multimedia,,
journals/jmma,Operations Research (Journal of Mathematical Modelling and Algorithms in ...),Journal of Mathematical Modelling and Algorithms [in Operations Research],,
journals/jmpt,Multimedia Processing and Technologies (Journal of ...),Journal of Multimedia Processing and Technologies,,
journals/jms,Medical Systems (Journal of ...),Journal of Medical Systems,,
journals/jnca,Network and Computer Applications (Journal of ...),Journal of Network and Computer Applications,,
journals/jnit,Next Generation Information Technology (Journal of ...),Journal of Next Generation Information Technology (JNIT),,
journals/jns,Nonlinear Science (Journal of ...),Journal of Nonlinear Science,,
journals/jnsm,Network and Systems Management (Journal of ...),Journal of Network and Systems Management,,
journals/jnw,Networks (Journal of ...),Journal of Networks,,
journals/joc,Journal of Cryptology,Journal of Cryptology,,28.0
journals/jocch,Journal on Computing and Cultural Heritage (ACM),ACM Journal on Computing and Cultural Heritage,,
journals/jocec,Organizational Computing and Electronic Commerce (Journal of ...),Journal of Organizational Computing and Electronic Commerce,,
journals/jocg,Journal of Computational Geometry,Journal of Computational Geometry (JoCG),,
journals/jocn,Journal of Cognitive Neuroscience,Journal of Cognitive Neuroscience,,64.0
journals/jocs,Journal of Computational Science,Journal of Computational Science,,17.0
journals/jodi,Journal of Digital Information,Journal of Digital Information,,5.0
journals/jodl,Libraries (International Journal on Digital ...),International Journal on Digital Libraries (JODL),,
journals/jods,Journal on Data Semantics,Journal on Data Semantics,,
journals/joeuc,Organizational and End User Computing (Journal of ...),Journal of Organizational and End User Computing (JOEUC),,
journals/joi,Journal of Informetrics,Journal of Informetrics,,37.0
journals/join,Journal of Interconnection Networks,Journal of Interconnection Networks,,
journals/jois,Journal of Intelligent Systems,Journal of Intelligent Systems,,25.0
journals/jolli,"Logic, Language and Information (Journal of ...)","Journal of Logic, Language and Information (JoLLI)",,
journals/jolpe,Low Power Electronics (Journal of ...),Journal of Low Power Electronics,,
journals/joop,Object-Oriented Programming (Journal of ...),Journal of Object-Oriented Programming (JOOP),,
journals/jors,Operational Research Society (Journal of the ...),Journal of the Operational Research Society,,
journals/jos,Simulation (Journal of ...),Journal of Simulation,,
journals/josis,Spatial Information Science (Journal of ...),Journal of Spatial Information Science,,
journals/joss,Social Structure (Journal of ...),Journal of Social Structure,,
journals/jossac,Systems Science and Complexity (Journal of ...),Journal of Systems Science and Complexity,,
journals/jossr,Service Science Research (Journal of ...),Journal of Service Science Research,,
journals/jot,Object Technology (Journal of ...),Journal of Object Technology,,
journals/jota,Optimization Theory and Applications (Journal of ...),Journal of Optimization Theory and Applications,,
journals/jowua,"Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications (Journal of ...)","Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications (JoWUA)",,
journals/jpdc,Parallel and Distributed Computing (Journal of ...),Journal of Parallel and Distributed Computing,,
journals/jphil,Philosophical Logic (Journal of ...),Journal of Philosophical Logic,,
journals/jpl,Programming Languages (Journal of ...),Journal of Programming Languages,,
journals/jqis,Quantum Information Science (Journal of ...),Journal of Quantum Information Science,,
journals/jql,Quantitative Linguistics (Journal of ...),Journal of Quantitative Linguistics,,
journals/jrtip,Real-Time Image Processing (Journal of ...),Journal of Real-Time Image Processing,,
journals/jsa,Systems Architecture (Journal of ...),Journal of Systems Architecture - Embedded Systems Design,,
journals/jsac,Selected Areas in Communications (IEEE Journal of ...),IEEE Journal of Selected Areas in Communications,,
journals/jsan,Sensor and Actuator Networks (Journal of ...),Journal of Sensor and Actuator Networks,,
journals/jsat,"Satisfiability, Boolean Modeling and Computation (Journal on ...)","Journal on Satisfiability, Boolean Modeling and Computation",,
journals/jsc,Symbolic Computation (Journal of ...),Journal of Symbolic Computation (JSC),,
journals/jsce,Systems and Control Engineering (Journal of ...),Journal of Systems and Control Engineering,,
journals/jscic,Scientific Computing (Journal of ...),Journal of Scientific Computing,,
journals/jsea,Software Engineering and Applications (Journal of ...),Journal of Software Engineering and Applications (JSEA),,
journals/jsi,Systems Integration (Journal of ...),Journal of Systems Integration,,
journals/jsip,Signal and Information Processing (Journal of ...),Journal of Signal and Information Processing,,
journals/jsis,Strategic Information Systems (The Journal of ...),The Journal of Strategic Information Systems,,
journals/jsit,Systems and Information Technology (Journal of ...),Journal of Systems and Information Technology,,
journals/jss,Systems and Software (Journal of ...),Journal of Systems and Software (JSS),,
journals/jssc,Solid-State Circuits (IEEE Journal of ...),IEEE Journal of Solid-State Circuits,,
journals/jst,Sensor Technology (Journal of ...),Journal of Sensor Technology,,
journals/jstsp,Signal Processing (IEEE Journal of Selected Topics in ...),IEEE Journal of Selected Topics in Signal Processing,,
journals/jsw,Software (Journal of ...),Journal of Software,,
journals/jsyml,Symbolic Logic (The Journal of ...),The Journal of Symbolic Logic,,
journals/jtaer,Theoretical and Applied Electronic Commerce Research (Journal of ...),Journal of Theoretical and Applied Electronic Commerce Research,,
journals/jthtl,Telecommunications and High Technology Law (Journal on ...),Journal on Telecommunications and High Technology Law,,
journals/jucs,Universal Computer Science (The Journal of ...),The Journal of Universal Computer Science,,
journals/juspn,Ubiquitous Systems and Pervasive Networks (Journal of ...),Journal of Ubiquitous Systems and Pervasive Networks,,
journals/jvca,Visualization and Computer Animation (Journal of ...),Journal of Visualization and Computer Animation,,
journals/jvcir,Visual Communication and Image Representation (Journal of ...),Journal of Visual Communication and Image Representation,,
journals/jvis,Visualization (Journal of ...),Journal of Visualization,,
journals/jvrb,Virtual Reality and Broadcasting (Journal of ...),Journal of Virtual Reality and Broadcasting,,
journals/jwe,Web Engineering (Journal of ...),Journal of Web Engineering,,
journals/jwscg,WSCG (Journal of ...),Journal of WSCG,,
journals/jwsr,Web Services Research (International Journal of ...),International Journal of Web Services Research,,
journals/jzusc,Zhejiang University - Science C (Journal of ...),Frontiers of Information Technology & Electronic Engineering,,
journals/kais,Knowledge and Information Systems,Knowledge and Information Systems (KAIS),,
journals/kbs,Knowledge Based Systems,Knowledge Based Systems,,44.0
journals/ker,Knowledge Engineering Review (The ...),The Knowledge Engineering Review (KER),,
journals/kes,Knowledge-Based and Intelligent Engineering Systems (International Journal of ...),International Journal of Knowledge-Based and Intelligent Engineering Systems,,
journals/ki,Künstliche Intelligenz,Künstliche Intelligenz,,13.0
journals/kognitionswissenschaft,Kognitionswissenschaft,Kognitionswissenschaft,,
journals/kybernetes,Kybernetes,Kybernetes,,16.0
journals/lalc,Literary & Linguistic Computing,Literary & Linguistic Computing,,14.0
journals/ldvf,Linguistics (Journal for Language Technology and Computational ...),Journal for Language Technology and Computational Linguistics,,
journals/lgrs,Remote Sensing Letters (IEEE Geoscience and ...),IEEE Geoscience and Remote Sensing Letters,,
journals/lht,Library Hi Tech,Library Hi Tech,,21.0
journals/libres,LIBRES: Library and Information Science Research Electronic Journal,LIBRES,,
journals/libt,Library Trends,Library Trends,,13.0
journals/lisp,Symbolic Computation (Higher-Order and ...),Higher-Order and Symbolic Computation / Lisp and Symbolic Computation,,
journals/lites,Transactions on Embedded Systems (Leibniz ...),Leibniz Transactions on Embedded Systems,,
journals/llc,Linguistics Compass (Language and ...),Language and Linguistics Compass,,
journals/lmcs,Logical Methods in Computer Science,Logical Methods in Computer Science,,27.0
journals/lncs,Lecture Notes in Computer Science (LNCS),Lecture Notes in Computer Science (LNCS),,
journals/logcom,Logic and Computation (Journal of ...),Journal of Logic and Computation,,
journals/login,LOG IN,LOG IN,,
journals/loplas,Programming Languages and Systems (ACM Letters on ...),ACM Letters on Programming Languages and Systems (LOPLAS),,
journals/lr,Logistics Research,Logistics Research,,14.0
journals/lre,Language Resources and Evaluation,Language Resources and Evaluation,,31.0
journals/lu,Logica Universalis,Logica Universalis,,
journals/ma,Multivariate Analysis (Journal of ...),Journal of Multivariate Analysis,,
journals/mags,Multiagent and Grid Systems,Multiagent and Grid Systems,,
journals/mala,Markup Languages,Markup Languages,,15.0
journals/mam,Microprocessors and Microsystems,Microprocessors and Microsystems - Embedded Hardware Design,,
journals/mansci,Management Science,Management Science,,62.0
journals/masa,Statistics and Applications (Model Assisted ...),Model Assisted Statistics and Applications,,
journals/mbec,Medical and Biological Engineering and Computing,Medical and Biological Engineering and Computing,,8.0
journals/mca,Transactions on Mobile Communications and Applications (EAI Endorsed ...),EAI Endorsed Transactions on Mobile Communications and Applications,,
journals/mcfns,Natural-Resource Sciences (Mathematical and Computational Forestry & ...),Mathematical and Computational Forestry & Natural-Resource Sciences (MCFNS),,
journals/mcm,Mathematical and Computer Modelling,Mathematical and Computer Modelling,,43.0
journals/mcma,Monte Carlo Methods and Applications,Monte Carlo Methods and Applications,,
journals/mcs,Simulation (Mathematics and Computers in ...),Mathematics and Computers in Simulation,,
journals/mcss,"Mathematics of Control, Signals, and Systems","Mathematics of Control, Signals, and Systems",,
journals/mda,Transactions on Mass-Data Analysis of Images and Signals,Transactions on Mass-Data Analysis of Images and Signals,,
journals/memetic,Memetic Computing,Memetic Computing,,18.0
journals/mia,Medical Image Analysis,Medical Image Analysis,,47.0
journals/micro,Micro (IEEE),IEEE Micro,,
journals/micromachines,Micromachines,Micromachines,,11.0
journals/mics,Mathematics in Computer Science,Mathematics in Computer Science,,11.0
journals/midm,Medical Informatics & Decision Making (BMC),BMC Medical Informatics & Decision Making,,
journals/mima,Minds and Machines,Minds and Machines,,14.0
journals/mis,Mobile Information Systems,Mobile Information Systems,,
journals/misq,MIS Quarterly,MIS Quarterly,,
journals/misqe,MIS Quarterly Executive,MIS Quarterly Executive,,
journals/mj,Microelectronics Journal,Microelectronics Journal,,26.0
journals/mktsci,Marketing Science,Marketing Science,,45.0
journals/ml,Machine Learning,Machine Learning,,73.0
journals/mlcs,Methods of Logic in Computer Science,Methods of Logic in Computer Science,,
journals/mldm,Transactions on Machine Learning and Data Mining,Transactions on Machine Learning and Data Mining,,
journals/mlq,Mathematical Logic Quarterly,Mathematical Logic Quarterly,,14.0
journals/mmas,Simulation (Multiscale Modeling & ...),Multiscale Modeling & Simulation,,
journals/mmi,MMI Interaktiv,MMI Interaktiv,,
journals/mmor,Operations Research (Mathematical Methods of ...),Mathematical Methods of Operations Research,,
journals/mms,Multimedia Systems,Multimedia Systems,,22.0
journals/moc,Mathematics of Computation,Mathematics of Computation,,34.0
journals/monet,Mobile Networks and Applications,Mobile Networks and Applications (MONET),,
journals/mor,Operations Research (Mathematics of ...),Mathematics of Operations Research,,
journals/mp,Programming (Mathematical ...),Mathematical Programming,,
journals/mpc,Programming Computation (Mathematical ...),Mathematical Programming Computation,,
journals/mr,Reliability (Microelectronics ...),Microelectronics Reliability,,
journals/mscs,Mathematical Structures in Computer Science,Mathematical Structures in Computer Science (MSCS),,
journals/msom,Manufacturing & Service Operations Management,Manufacturing & Service Operations Management,,49.0
journals/mss,Mathematical Social Sciences,Mathematical Social Sciences,,16.0
journals/mst,Theory of Computing Systems,Theory of Computing Systems / Mathematical Systems Theory,,
journals/mt,Machine Translation,Machine Translation,,20.0
journals/mta,Multimedia Tools and Applications,Multimedia Tools and Applications,,28.0
journals/mva,Vision and Applications (Machine ...),Machine Vision and Applications,,
journals/mvl,Multiple-Valued Logic (Journal of ...),Multiple-Valued Logic (and Soft Computing),,
journals/na,Numerical Algorithms,Numerical Algorithms,,24.0
journals/nar,Nucleic Acids Research,Nucleic Acids Research,,164.0
journals/nature,Nature,Nature,,355.0
journals/nc,Natural Computing,Natural Computing,,23.0
journals/nca,Neural Computing and Applications,Neural Computing and Applications,,22.0
journals/nct,Network and Communication Technologies,Network and Communication Technologies,,
journals/ndjfl,Notre Dame Journal of Formal Logic,Notre Dame Journal of Formal Logic,,12.0
journals/neco,Neural Computation,Neural Computation,,38.0
journals/netmahib,Network Modeling Analysis in Health Informatics and Bioinformatics,Network Modeling Analysis in Health Informatics and Bioinformatics,,
journals/network,Network (IEEE),IEEE Network,,
journals/networks,Networks,Networks,,52.0
journals/neuroimage,NeuroImage,NeuroImage,,117.0
journals/nfd,Nachrichten für Dokumentation,Nachrichten für Dokumentation / Information - Wissenschaft und Praxis,,
journals/ngc,New Generation Computing,New Generation Computing,,
journals/nhm,Networks and Heterogeneous Media,Networks and Heterogeneous Media,,16.0
journals/ni,Neuroinformatics,Neuroinformatics,,25.0
journals/nis,Networking and Information Systems Journal,Networking and Information Systems Journal (NIS),,
journals/njc,Nordic Journal of Computing,Nordic Journal of Computing (NJC),,
journals/nla,Numerical Linear Algebra with Applications,Numerical Linear Algebra with Applications,,21.0
journals/nle,Natural Language Engineering,Natural Language Engineering,,19.0
journals/nms,Society (New Media & ...),New Media & Society,,
journals/nn,Neural Networks,Neural Networks,,52.0
journals/npl,Neural Processing Letters,Neural Processing Letters,,15.0
journals/npsc,"Scientific Computations (Neural, Parallel & ...)","Neural, Parallel & Scientific Computations",,
journals/ns,Security (Network ...),Network Security,,
journals/oclc,OCLC Systems & Services,OCLC Systems & Services,,9.0
journals/oir,Online Information Review,Online Information Review,,28.0
journals/ol,Optimization Letters,Optimization Letters,,22.0
journals/omics,OMICS: A Journal of Integrative Biology,OMICS A Journal of Integrative Biology,,
journals/oms,Optimization Methods and Software,Optimization Methods and Software,,20.0
journals/oopsm,OOPS Messenger,OOPS Messenger,,
journals/oos,Object Oriented Systems,Object Oriented Systems,,
journals/or,Operational Research,Operational Research,,81.0
journals/order,Order - A Journal on the Theory of Ordered Sets and its Applications,Order - A Journal on the Theory of Ordered Sets and its Applications,,
journals/orgsci,Organization Science,Organization Science,,68.0
journals/ori,OR Insight,OR Insight,,
journals/orl,Operations Research Letters,Operations Research Letters,,21.0
journals/osid,Open Systems & Information Dynamics,Open Systems & Information Dynamics,,11.0
journals/osn,Optical Switching and Networking,Optical Switching and Networking,,14.0
journals/paa,Pattern Analysis and Applications,Pattern Analysis and Applications,,16.0
journals/paapp,"Parallel, Emergent and Distributed Systems (International Journal of ...)","International Journal of Parallel, Emergent and Distributed Systems",,
journals/pai,Progress in Artificial Intelligence,Progress in Artificial Intelligence,,
journals/paladyn,"Robotics (Paladyn, Journal of Behavioral ...)","Paladyn, Journal of Behavioral Robotics",,
journals/pami,Transactions on Pattern Analysis and Machine Intelligence (IEEE),IEEE Transactions on Pattern Analysis and Machine Intelligence (TPAMI),,
journals/pap,Poiesis & Praxis,Poiesis & Praxis,,4.0
journals/pbml,Prague Bulletin of Mathematical Linguistics (The ...),The Prague Bulletin of Mathematical Linguistics,,
journals/pc,Parallel Computing,Parallel Computing,,25.0
journals/pcs,Programming and Computer Software,Programming and Computer Software,,8.0
journals/pdln,Procesamiento del Lenguaje Natural,Procesamiento del Lenguaje Natural,,12.0
journals/pe,Performance Evaluation,Performance Evaluation,,39.0
journals/peng,Production Engineering,Production Engineering,,16.0
journals/percom,Pervasive and Mobile Computing,Pervasive and Mobile Computing,,31.0
journals/pervasive,Pervasive Computing (IEEE),IEEE Pervasive Computing,,
journals/phycomm,Physical Communication,Physical Communication,,18.0
journals/pieee,Proceedings of the IEEE,Proceedings of the IEEE,,85.0
journals/pik,PIK - Praxis der Informationsverarbeitung und Kommunikation,PIK - Praxis der Informationsverarbeitung und Kommunikation,,7.0
journals/ploscb,PLoS Computational Biology,PLoS Computational Biology,,80.0
journals/pmh,Periodica Mathematica Hungarica,Periodica Mathematica Hungarica,,8.0
journals/pnc,Photonic Network Communications,Photonic Network Communications,,12.0
journals/polity,Polity (Information ...),Information Polity,,
journals/ppl,Parallel Processing Letters,Parallel Processing Letters,,14.0
journals/ppna,Peer-to-Peer Networking and Applications,Peer-to-Peer Networking and Applications,,12.0
journals/pr,Pattern Recognition,Pattern Recognition,,118.0
journals/presence,Virtual Environments (Presence: Teleoperators and ...),Presence: Teleoperators and Virtual Environments,,
journals/prl,Pattern Recognition Letters,Pattern Recognition Letters,,44.0
journals/protein,"Protein Engineering, Design & Selection","Protein Engineering, Design & Selection",,34.0
journals/psfg,"Proteins: Structure, Function, and Genetics","Proteins: Structure, Function, and Genetics",,
journals/psychnology,PsychNology Journal,PsychNology Journal,,
