	Name	Link	NPubs_list	NCits_list	ShortName
3409	2010 International Conference on Computer, Mechatronics, Control and Electronic Engineering	/Conference/3409/cmce-2010-international-conference-on-computer-mechatronics-control-and-electronic-engineering	824	32	CMCE
3423	International Conference on Computing & Informatics	/Conference/3423/icoci-international-conference-on-computing-&-informatics	114	32	ICOCI
5198	2010 International Conference on Network and Service Management	/Conference/5198/cnsm-2010-international-conference-on-network-and-service-management	98	32	CNSM
1690	SIGFORTH Conference	/Conference/1690/sigforth-sigforth-conference	50	32	SIGFORTH
3831	International Conference on Advances in Mesh Networks	/Conference/3831/mesh-international-conference-on-advances-in-mesh-networks	47	32	MESH
1186	Information Management in Computer Integrated Manufacturing	/Conference/1186/information-management-in-computer-integrated-manufacturing	32	32	
1873	Compulog Net Meeting on Knowledge Bases	/Conference/1873/cnkbs-compulog-net-meeting-on-knowledge-bases	15	32	CNKBS
194	Open Digital Rights Language	/Conference/194/odrl-open-digital-rights-language	13	32	ODRL
1996	Goal-Oriented Business-Process Modeling	/Conference/1996/gbpm-goal-oriented-business-process-modeling	10	32	GBPM
893	Workshop on Dynamic and Adaptive Compilation and Optimization	/Conference/893/dynamo-workshop-on-dynamic-and-adaptive-compilation-and-optimization	3	32	Dynamo
3818	International Conference on Advancements in Nuclear Instrumentation Measurement Methods and their Applications	/Conference/3818/animma-international-conference-on-advancements-in-nuclear-instrumentation-measurement-methods	327	31	ANIMMA
3424	Proceedings of the Johns Hopkins National Search for Computing Applications to Assist Persons with Disabilities	/Conference/3424/caapwd-proceedings-of-the-johns-hopkins-national-search-for-computing-applications-to-assist	72	31	CAAPWD
2723	Modelling, Computation and Optimization in Information Systems and Management Sciences	/Conference/2723/mco-modelling-computation-and-optimization-in-information-systems-and-management-sciences	57	31	MCO
3523	IEEE International Conference on Developing and Managing Intelligent System Projects	/Conference/3523/dmisp-ieee-international-conference-on-developing-and-managing-intelligent-system-projects	31	31	DMISP
907	Error Control, Cryptology, and Speech Compression	/Conference/907/error-control-cryptology-and-speech-compression	17	31	
