Name	Link	NPubs_list	NCits_list	ShortName
Measuring Business Excellence	/Journal/17026/measuring-business-excellence	391	7445	
The International Executive	/Journal/13315/the-international-executive	1283	7421	
Production Planning & Control	/Journal/5761/production-planning-control-production-planning-&-control	1814	7292	PRODUCTION PLANNING CONTROL
Managerial and Decision Economics	/Journal/13192/managerial-and-decision-economics	1491	7250	
Economic Policy	/Journal/4698/econ-policy-economic-policy	225	7250	ECON POLICY
Journal of Management Development	/Journal/16917/journal-of-management-development	1417	7237	
Entrepreneurship Theory and Practice	/Journal/4721/entrep-theory-pract-entrepreneurship-theory-and-practice	488	7236	ENTREP THEORY PRACT
Contemporary Economic Policy	/Journal/4674/contemp-economic-policy-contemporary-economic-policy	1259	7144	CONTEMP ECONOMIC POLICY
Thin-walled Structures	/Journal/5863/thin-wall-struct-thin-walled-structures	1893	7088	THIN WALL STRUCT
Review of International Economics	/Journal/17335/rev-int-econ-review-of-international-economics	1040	7059	Rev Int Econ
Journal of Evolutionary Economics	/Journal/4866/j-evol-econ-journal-of-evolutionary-economics	640	7046	J EVOL ECON
Human Resource Management Review	/Journal/4767/human-resource-management-rev-human-resource-management-review	541	6971	HUMAN RESOURCE MANAGEMENT REV
Competitive Intelligence Review	/Journal/13184/competitive-intelligence-review	864	6920	
Journal of Financial and Quantitative Analysis	/Journal/4869/j-finan-quant-anal-journal-of-financial-and-quantitative-analysis	358	6882	J FINAN QUANT ANAL
Cambridge Journal of Economics	/Journal/4661/camb-j-econ-cambridge-journal-of-economics	683	6821	CAMB J ECON
Journal of Regulatory Economics	/Journal/4925/j-regul-econ-journal-of-regulatory-economics	662	6813	J REGUL ECON
Journal of The Japanese and International Economies	/Journal/4893/j-jpn-int-econ-journal-of-the-japanese-and-international-economies	671	6773	J JPN INT ECON
Marketing Intelligence & Planning	/Journal/17013/marketing-intelligence-&-planning	1115	6699	
Transportation Research Part E-logistics and Transportation Review	/Journal/5871/transp-res-pt-e-logist-transp-transportation-research-part-e-logistics-and-transportation-review	657	6687	TRANSP RES PT E-LOGIST TRANSP
Journal of Interactive Marketing	/Journal/4892/j-interact-mark-journal-of-interactive-marketing	387	6654	J INTERACT MARK
Journal of Organizational Change Management	/Journal/4912/j-organ-change-manage-journal-of-organizational-change-management	832	6650	J ORGAN CHANGE MANAGE
System Dynamics Review	/Journal/5054/syst-dynam-rev-system-dynamics-review	536	6605	SYST DYNAM REV
Explorations in Economic History	/Journal/4740/explor-econ-hist-explorations-in-economic-history	1093	6560	EXPLOR ECON HIST
Organizational Research Methods	/Journal/4977/organ-res-methods-organizational-research-methods	432	6543	ORGAN RES METHODS
The Financial Review	/Journal/17286/financ-rev-the-financial-review	2337	6467	Financ Rev
Or Spektrum	/Journal/13391/or-spektrum	1311	6449	
Managing Service Quality	/Journal/16925/managing-service-quality	1011	6429	
Entrepreneurship and Regional Development	/Journal/4720/entrep-reg-dev-entrepreneurship-and-regional-development	591	6425	ENTREP REG DEV
Journal of Applied Corporate Finance	/Journal/17427/bank-am-j-appl-corp-finance-journal-of-applied-corporate-finance	966	6400	Bank Am J Appl Corp Finance
Economics of Innovation and New Technology	/Journal/15907/economics-of-innovation-and-new-technology	632	6396	
Journal of Consumer Affairs	/Journal/4841/j-consum-aff-journal-of-consumer-affairs	931	6385	J CONSUM AFF
Journal of Macroeconomics	/Journal/4899/j-macroeconomics-journal-of-macroeconomics	1466	6310	J MACROECONOMICS
Economics and Politics	/Journal/17295/economics-and-politics	348	6295	
The International Journal of Logistics Management	/Journal/16968/the-international-journal-of-logistics-management	492	6291	
Review of Industrial Organization	/Journal/5027/rev-industrial-organ-review-of-industrial-organization	1066	6263	REV INDUSTRIAL ORGAN
Business Strategy and The Environment	/Journal/13170/business-strategy-and-the-environment	888	6217	
Journal of Accounting and Public Policy	/Journal/4817/j-account-public-pol-journal-of-accounting-and-public-policy	628	6196	J ACCOUNT PUBLIC POL
Management Learning	/Journal/4955/manage-learning-management-learning	1642	6186	MANAGE LEARNING
International Tax and Public Finance	/Journal/4812/int-tax-public-financ-international-tax-and-public-finance	811	6140	INT TAX PUBLIC FINANC
International Journal of Technology Management	/Journal/4804/int-j-technol-manage-international-journal-of-technology-management	1348	6097	INT J TECHNOL MANAGE
Resource and Energy Economics	/Journal/5010/resour-energy-econ-resource-and-energy-economics	550	6038	RESOUR ENERGY ECON
Journal of Law Economics & Organization	/Journal/4898/j-law-econ-organ-journal-of-law-economics-&-organization	334	6030	J LAW ECON ORGAN
