Name	Link	NCits_list	NPubs_list	ShortName
Physical Chemistry Chemical Physics	/Journal/2262/phys-chem-chem-phys-physical-chemistry-chemical-physics	15015	41	PHYS CHEM CHEM PHYS
Synthesis-stuttgart	/Journal/2362/synthesis-stuttgart	14955	41	
Polymer Degradation and Stability	/Journal/2278/polym-degrad-stabil-polymer-degradation-and-stability	6493	41	POLYM DEGRAD STABIL
Journal of Chromatography B-analytical Technologies in The Biomedical and Life Sciences	/Journal/2118/j-chromatogr-b-journal-of-chromatography-b-analytical-technologies-in-the-biomedical-and-life	6035	41	J CHROMATOGR B
Biochemical Genetics	/Journal/7576/biochem-genet-biochemical-genetics	3181	41	BIOCHEM GENET
Nitric Oxide-biology and Chemistry	/Journal/1758/nitric-oxide-biol-chem-nitric-oxide-biology-and-chemistry	1619	41	NITRIC OXIDE-BIOL CHEM
Current Medicinal Chemistry	/Journal/8170/curr-medicinal-chem-current-medicinal-chemistry	1609	41	CURR MEDICINAL CHEM
Bioorganic & Medicinal Chemistry Letters	/Journal/1907/bioorg-medicinal-chem-letter-bioorganic-&-medicinal-chemistry-letters	19318	40	BIOORG MEDICINAL CHEM LETTER
Applied Spectroscopy	/Journal/5110/appl-spectrosc-applied-spectroscopy	15667	40	APPL SPECTROSC
Spectrochimica Acta Part B-atomic Spectroscopy	/Journal/5831/spectrochim-acta-pt-b-at-spec-spectrochimica-acta-part-b-atomic-spectroscopy	9399	40	SPECTROCHIM ACTA PT B-AT SPEC
Journal of Analytical Atomic Spectrometry	/Journal/2085/j-anal-atom-spectrom-journal-of-analytical-atomic-spectrometry	4686	40	J ANAL ATOM SPECTROM
Dyes and Pigments	/Journal/2016/dye-pigment-dyes-and-pigments	3356	40	DYE PIGMENT
Fuel Processing Technology	/Journal/2040/fuel-process-technol-fuel-processing-technology	2894	40	FUEL PROCESS TECHNOL
Transport in Porous Media	/Journal/2376/trans-porous-media-transport-in-porous-media	2147	40	TRANS POROUS MEDIA
Cereal Chemistry	/Journal/1159/cereal-chem-cereal-chemistry	1840	40	CEREAL CHEM
Journal of Chemical Information and Computer Sciences	/Journal/392/jcisd-journal-of-chemical-information-and-computer-sciences	1525	40	JCISD
