"CJourID","DomainID","SubDomainID"
"982","2","5"
"983","2","0"
"984","2","23"
"985","6","0"
"986","2","0"
"987","2","5"
"988","7","3"
"989","2","0"
"990","2","14"
"991","6","22"
"992","2","4"
"993","2","14"
"994","2","0"
"995","2","23"
"996","2","0"
"997","2","5"
"997","2","23"
"998","2","0"
"998","15","0"
"999","2","0"
"1000","2","6"
"1001","2","1"
"1001","15","3"
"1001","15","4"
"1002","6","0"
"1003","2","2"
"1004","2","16"
"1005","2","0"
"1006","2","2"
"1007","2","2"
"1008","2","0"
"1009","2","7"
"1010","2","19"
"1011","2","7"
"1011","22","0"
"1012","6","14"
"1013","2","15"
"1014","2","18"
"1015","2","5"
"1016","2","7"
"1017","2","24"
"1018","2","21"
"1019","2","18"
"1020","2","0"
"1021","2","7"
"1022","2","5"
"1023","2","7"
"1023","22","0"
"1024","2","21"
"1024","4","6"
"1025","2","8"
"1025","22","12"
"1026","2","22"
"1027","2","3"
"1028","2","22"
"1029","2","5"
"1030","2","5"
"1031","2","1"
"1032","2","5"
"1033","2","2"
"1034","2","22"
"1035","2","13"
"1036","2","18"
"1037","2","5"
"1038","2","18"
"1039","2","1"
"1040","2","14"
"1041","2","14"
"1042","2","14"
"1043","2","3"
"1044","2","14"
"1045","2","14"
"1046","7","13"
"1047","2","20"
"1048","2","1"
"1049","2","9"
"1050","2","23"
"1051","2","17"
"1052","7","3"
"1053","2","1"
"1054","2","1"
"1055","2","20"
"1055","2","22"
"1056","2","6"
"1057","2","12"
"1058","2","22"
"1059","2","5"
"1060","2","1"
"1061","2","22"
"1062","2","14"
"1063","2","12"
"1064","7","13"
"1065","2","22"
"1066","2","10"
"1067","2","12"
"1068","2","0"
"1069","2","0"
"1070","2","9"
"1071","2","0"
"1072","2","15"
"1072","2","23"
"1073","2","3"
"1073","2","17"
"1074","2","4"
"1074","2","6"
"1074","2","11"
"1075","2","4"
"1076","2","1"
"1076","2","21"
"1077","2","22"
"1078","2","23"
"1079","2","23"
"1080","2","1"
"1080","2","22"
"1081","2","20"
"1082","2","1"
"1083","8","0"
"1084","2","14"
"1084","2","17"
"1084","2","18"
"1084","2","19"
"1085","7","0"
"1086","6","22"
"1087","4","11"
"1088","4","6"
"1088","4","9"
"1089","16","0"
"1090","4","6"
"1091","2","7"
"1091","2","8"
"1091","2","17"
"1092","2","7"
"1092","2","18"
"1093","2","7"
"1093","2","8"
"1093","2","16"
"1093","2","17"
"1093","2","18"
"1094","2","1"
"1095","2","2"
"1095","2","3"
"1095","2","7"
"1095","2","18"
"1096","2","10"
"1096","2","11"
"1096","2","12"
"1096","2","13"
"1097","2","4"
"1098","2","2"
"1098","2","4"
"1098","2","7"
"1098","2","14"
"1099","2","5"
"1099","2","11"
"1100","2","14"
"1101","6","0"
"1102","2","4"
"1102","2","13"
"1102","2","14"
"1103","16","1"
"1104","16","4"
"1105","16","1"
"1106","16","1"
"1107","6","16"
"1108","16","0"
"1109","16","4"
"1110","16","4"
"1111","10","0"
"1112","16","0"
"1113","16","0"
"1114","16","8"
"1115","5","0"
"1116","7","0"
"1117","16","0"
"1118","16","0"
"1119","16","4"
"1120","16","0"
"1121","16","0"
"1122","16","5"
"1123","16","1"
"1124","16","0"
"1125","16","0"
"1126","16","1"
"1127","16","0"
"1128","16","0"
"1129","16","1"
"1129","16","4"
"1130","16","0"
"1131","16","0"
"1132","16","1"
"1133","6","16"
"1134","16","7"
"1135","6","16"
"1136","9","0"
"1137","6","16"
"1138","16","4"
"1139","16","0"
"1140","16","1"
"1141","16","4"
"1142","16","0"
"1143","16","1"
"1143","16","4"
"1144","7","0"
"1145","4","0"
"1145","16","0"
"1146","4","0"
"1146","16","0"
"1147","4","0"
"1147","16","0"
"1148","16","0"
"1149","4","0"
"1149","16","0"
"1150","4","0"
"1150","16","0"
"1151","16","0"
"1152","16","4"
"1153","16","4"
"1154","6","16"
"1155","16","0"
"1156","16","0"
"1157","8","0"
"1158","6","16"
"1159","5","0"
"1160","16","4"
"1161","16","1"
"1162","16","0"
"1163","16","0"
"1164","9","0"
"1165","16","0"
"1166","16","1"
"1167","16","4"
"1168","16","4"
"1169","16","4"
"1170","6","16"
"1170","16","4"
"1171","16","1"
"1172","16","1"
"1173","16","1"
"1174","16","1"
"1175","22","0"
"1176","16","0"
"1177","16","4"
"1178","16","4"
"1179","16","4"
"1180","16","4"
"1181","16","4"
"1182","1","0"
"1183","6","16"
"1183","16","4"
"1184","16","0"
"1185","16","4"
"1186","8","0"
"1187","16","4"
"1188","16","1"
"1189","16","1"
"1190","16","7"
"1191","16","7"
"1192","16","0"
"1193","16","4"
"1194","16","1"
"1195","5","0"
"1196","16","4"
"1197","16","4"
"1198","16","4"
"1199","16","4"
"1200","16","4"
"1201","16","4"
"1202","16","4"
"1203","16","4"
"1204","16","4"
"1205","16","4"
"1206","16","4"
"1207","16","4"
"1208","16","4"
"1209","16","4"
"1210","16","4"
"1211","16","4"
"1212","16","4"
"1213","16","4"
"1214","16","4"
"1215","16","4"
"1216","16","4"
"1217","16","4"
"1218","16","4"
"1219","16","4"
"1220","16","4"
"1221","16","4"
"1222","16","0"
"1223","16","1"
"1224","16","1"
"1225","16","1"
"1226","16","7"
"1227","16","0"
"1228","16","1"
"1229","16","1"
"1230","16","1"
"1231","16","1"
"1232","16","0"
"1233","16","4"
"1234","5","16"
"1235","16","0"
