Key,ShortName,Name,HIndex,Qualis
dblp:journals/dt,DT (J),,,
dblp:conf/vts,VTS (C),,47,A2
dblp:conf/cidr,CIDR (C),,41,A2
dblp:conf/afips,AFIPS (C),,,
dblp:conf/pdpta,PDPTA (C),,21,B2
dblp:journals/ploscb,PLOSCB (J),,,
dblp:conf/iccS,ICCS (C),,37,A2
dblp:journals/sigact,SIGACT (J),,,
dblp:journals/tois,TOIS (J),,,A2
dblp:conf/pakdd,PAKDD (C),,,
dblp:conf/fccm,FCCM (C),,46,A2
dblp:conf/conext,CONEXT (C),,34,B1
dblp:journals/sigmetrics,SIGMETRICS (J),,,
dblp:journals/tsmc,TSMC (J),,,
dblp:journals/trob,TROB (J),,,A1
dblp:conf/lcn,LCN (C),,48,A2
dblp:journals/arobots,AROBOTS (J),,,A1
dblp:conf/robocup,ROBOCUP (C),,,
dblp:conf/arith,ARITH (C),,,
dblp:conf/er,ER (C),,42,A2
dblp:conf/rtcsa,RTCSA (C),,26,B1
dblp:conf/cocoon,COCOON (C),,28,B1
dblp:conf/gecco,GECCO (C),,66,A1
dblp:conf/iui,IUI (C),,62,A1
dblp:journals/toms,TOMS (J),,,A2
dblp:conf/icpads,ICPADS (C),,28,B1
dblp:journals/ras,RAS (J),,,A2
dblp:conf/jcdl,JCDL (C),,53,A2
dblp:journals/taco,TACO (J),,,
dblp:reference/db,DB (reference),,,
dblp:conf/hipc,HIPC (C),,25,B1
dblp:conf/ispd,ISPD (C),,42,A2
dblp:journals/ieeesp,IEEESP (J),,,
dblp:conf/sma,SMA (C),,,
dblp:conf/ictai,ICTAI (C),,38,A2
dblp:journals/tosn,TOSN (J),,,
dblp:journals/neco,NECO (J),,,A1
dblp:conf/innovations,INNOVATIONS (C),,,
dblp:conf/tark,TARK (C),,19,B2
dblp:journals/jsc,JSC (J),,,B1
dblp:journals/dke,DKE (J),,,
dblp:journals/tecs,TECS (J),,,B1
dblp:conf/iscc,ISCC (C),,43,A2
dblp:journals/rsa,RSA (J),,,
dblp:journals/adhoc,ADHOC (J),,,B1
dblp:conf/cluster,CLUSTER (C),,39,A2
dblp:conf/networking,NETWORKING (C),,31,B1
dblp:conf/seke,SEKE (C),,35,B1
dblp:journals/amai,AMAI (J),,,B1
dblp:conf/swat,SWAT (C),,26,B1
dblp:conf/smc,SMC (C),,19,B2
dblp:conf/lctrts,LCTRTS (C),,,
dblp:journals/fuin,FUIN (J),,,B1
dblp:conf/latin,LATIN (C),,26,B1
dblp:journals/nar,NAR (J),,,B1
dblp:conf/compsac,COMPSAC (C),,40,A2
dblp:conf/fast,FAST (C),,55,A1
dblp:journals/siamsc,SIAMSC (J),,,A1
dblp:journals/ppl,PPL (J),,,B2
dblp:journals/tmm,TMM (J),,,A1
dblp:conf/ismar,ISMAR (C),,48,A2
dblp:conf/csb,CSB (C),,34,B1
dblp:journals/jcs,JCS (J),,,
dblp:conf/wine,WINE (C),,,
dblp:conf/dcoss,DCOSS (C),,,
dblp:conf/ipco,IPCO (C),,26,B1
dblp:conf/wafr,WAFR (C),,5,B4
dblp:conf/mass,MASS (C),,35,B1
dblp:conf/eurosys,EUROSYS (C),,47,A2
dblp:journals/jfp,JFP (J),,,B1
dblp:conf/vlsid,VLSID (C),,40,A2
dblp:journals/geb,GEB (J),,,
dblp:journals/ijon,IJON (J),,,A1
dblp:conf/iticse,ITICSE (C),,35,B1
dblp:conf/isvc,ISVC (C),,,
dblp:conf/icdt,ICDT (C),,27,B1
dblp:conf/cases,CASES (C),,44,A2
dblp:journals/tjs,TJS (J),,,B2
dblp:conf/iclp,ICLP (C),,35,B1
dblp:conf/ispass,ISPASS (C),,32,B1
dblp:journals/twc,TWC (J),,,A1
dblp:conf/icmi,ICMI (C),,46,A2
dblp:journals/jar,JAR (J),,,B1
dblp:conf/fm,FM (C),,35,B1
dblp:conf/wacv,WACV (C),,33,B1
dblp:conf/lfp,LFP (C),,,
dblp:series/sci,SCI (series),,,
dblp:journals/automatica,AUTOMATICA (J),,,A1
dblp:conf/esorics,ESORICS (C),,45,A2
dblp:journals/sttt,STTT (J),,,B2
dblp:conf/issac,ISSAC (C),,,
dblp:conf/ac,AC (C),,9,B4
dblp:conf/ismis,ISMIS (C),,21,B2
dblp:conf/iswc,ISWC (C),,89,A1
dblp:journals/jct,JCT (J),,,
dblp:conf/secon,SECON (C),,30,B1
dblp:conf/agents,AGENTS (C),,,
dblp:conf/esop,ESOP (C),,53,A2
dblp:conf/memocode,MEMOCODE (C),,,
dblp:journals/dpd,DPD (J),,,B1
dblp:journals/datamine,DATAMINE (J),,,A2
dblp:journals/wicomm,WICOMM (J),,,B1
dblp:journals/eatcs,EATCS (J),,,
dblp:conf/gis,GIS (C),,33,B1
dblp:journals/cluster,CLUSTER (J),,,B2
dblp:conf/vtc,VTC (C),,98,A1
dblp:journals/fgcs,FGCS (J),,,A2
dblp:journals/todaes,TODAES (J),,,B2
dblp:conf/asiacrypt,ASIACRYPT (C),,69,A1
dblp:journals/tcbb,TCBB (J),,,A2
dblp:conf/semweb,SEMWEB (C),,,
dblp:journals/apal,APAL (J),,,B1
dblp:conf/huc,HUC (C),,,
dblp:conf/ecai,ECAI (C),,49,A2
dblp:conf/fpl,FPL (C),,50,A2
dblp:journals/lisp,LISP (J),,,
dblp:conf/3dpvt,3DPVT (C),,,
dblp:conf/flairs,FLAIRS (C),,25,B1
dblp:journals/sigkdd,SIGKDD (J),,,
dblp:journals/cogsci,COGSCI (J),,,
dblp:journals/tcsv,TCSV (J),,,A1
dblp:conf/isrr,ISRR (C),,3,B4
dblp:journals/prl,PRL (J),,,A1
dblp:journals/tosem,TOSEM (J),,,A2
dblp:conf/cp,CP (C),,48,A2
dblp:journals/mta,MTA (J),,,B2
dblp:conf/alenex,ALENEX (C),,27,B1
dblp:journals/sigbed,SIGBED (J),,,
dblp:conf/ecml,ECML (C),,47,A2
dblp:conf/emsoft,EMSOFT (C),,42,A2
dblp:conf/sgp,SGP (C),,7,B4
dblp:conf/spdp,SPDP (C),,,
dblp:conf/lop,LOP (C),,,
dblp:journals/ejasp,EJASP (J),,,B1
dblp:conf/nca,NCA (C),,31,B1
dblp:conf/async,ASYNC (C),,37,A2
dblp:conf/fc,FC (C),,36,B1
dblp:journals/ijmms,IJMMS (J),,,A1
dblp:conf/vmcai,VMCAI (C),,40,A2
dblp:journals/jcc,JCC (J),,,A1
dblp:conf/accv,ACCV (C),,,
dblp:conf/dasfaa,DASFAA (C),,29,B1
dblp:journals/tdsc,TDSC (J),,,B1
dblp:conf/sat,SAT (C),,32,B1
dblp:conf/dl,DL (C),,36,B1
dblp:conf/vl,VL (C),,,
dblp:journals/coling,COLING (J),,,A1
dblp:conf/icppw,ICPPW (C),,,
dblp:conf/hci,HCI (C),,,A2
dblp:conf/dgo,DGO (C),,23,B1
dblp:conf/wcnc,WCNC (C),,34,A2
dblp:journals/ieeemm,IEEEMM (J),,,A2
dblp:conf/rta,RTA (C),,33,B1
dblp:conf/wsdm,WSDM (C),,35,B1
dblp:conf/icws,ICWS (C),,58,A1
dblp:journals/joc,JOC (J),,,A2
dblp:journals/jiis,JIIS (J),,,B1
dblp:journals/dm,DM (J),,,A2
dblp:journals/tac,TAC (J),,,A1
dblp:conf/wmcsa,WMCSA (C),,,
dblp:journals/ieicet,IEICET (J),,,
dblp:conf/opodis,OPODIS (C),,19,B2
dblp:conf/mswim,MSWIM (C),,35,B1
dblp:conf/ismir,ISMIR (C),,61,A1
dblp:journals/ac,AC (J),,,B3
dblp:conf/pdis,PDIS (C),,,
dblp:conf/ACMse,ACMSE (C),,,
dblp:conf/pg,PG (C),,40,A2
dblp:conf/ht,HT (C),,,
dblp:conf/dimva,DIMVA (C),,24,B1
dblp:conf/otm,OTM (C),,,
dblp:reference/crypt,CRYPT (reference),,,
dblp:conf/interact,INTERACT (C),,30,B1
dblp:journals/ipm,IPM (J),,,
dblp:conf/cc,CC (C),,38,A2
dblp:conf/webdb,WEBDB (C),,34,B1
dblp:journals/dsonline,DSONLINE (J),,,B1
dblp:journals/kais,KAIS (J),,,A2
dblp:conf/bmvc,BMVC (C),,48,A2
dblp:journals/jetai,JETAI (J),,,B2
dblp:conf/icac,ICAC (C),,43,A2
dblp:conf/wabi,WABI (C),,34,B1
dblp:journals/jlp,JLP (J),,,
dblp:conf/egh,EGH (C),,,
dblp:journals/percom,PERCOM (J),,,
dblp:journals/cagd,CAGD (J),,,A2
dblp:journals/mor,MOR (J),,,A2
dblp:conf/iwqos,IWQOS (C),,44,A2
dblp:journals/cc,CC (J),,,B2
qualis:j/1531-3263_presence,Presence,,,
dblp:journals/cal,CAL (J),,,
dblp:journals/ibmsj,IBMSJ (J),,,A2
dblp:journals/jvca,JVCA (J),,,
dblp:conf/icwsm,ICWSM (C),,26,B1
dblp:journals/jasis,JASIS (J),,,A1
dblp:journals/tcom,TCOM (J),,,A1
dblp:conf/broadnets,BROADNETS (C),,30,B1
dblp:conf/fmcad,FMCAD (C),,33,B1
dblp:conf/humanoids,HUMANOIDS (C),,17,B2
dblp:conf/fase,FASE (C),,42,A2
dblp:conf/mobiquitous,MOBIQUITOUS (C),,32,B1
dblp:conf/fskd,FSKD (C),,18,B2
dblp:conf/bibe,BIBE (C),,27,B1
dblp:conf/pam,PAM (C),,40,A2
dblp:conf/fct,FCT (C),,18,B2
dblp:journals/jucs,JUCS (J),,,
dblp:journals/logcom,LOGCOM (J),,,B1
dblp:conf/forte,FORTE (C),,29,B1
dblp:journals/sp,SP (J),,,
dblp:journals/tochi,TOCHI (J),,,
dblp:journals/tocl,TOCL (J),,,
dblp:conf/slp,SLP (C),,,
dblp:conf/asap,ASAP (C),,29,B1
dblp:journals/informs,INFORMS (J),,,A2
dblp:conf/random,RANDOM (C),,24,B1
dblp:conf/aina,AINA (C),,39,A2
dblp:conf/dexa,DEXA (C),,34,B1
dblp:conf/hotnets,HOTNETS (C),,15,B3
dblp:journals/vlc,VLC (J),,,B1
dblp:conf/vrst,VRST (C),,32,B1
dblp:conf/glvlsi,GLVLSI (C),,,
dblp:conf/maude,MAUDE (C),,,
dblp:conf/cvrmed,CVRMED (C),,,
dblp:series/synthesis,SYNTHESIS (series),,,
dblp:conf/isqed,ISQED (C),,34,B1
dblp:conf/3dim,3DIM (C),,29,B1
dblp:conf/dagm,DAGM (C),,,
dblp:conf/usits,USITS (C),,31,B1
dblp:journals/taslp,TASLP (J),,,
dblp:conf/wowmom,WOWMOM (C),,6,B3
dblp:journals/tifs,TIFS (J),,,
dblp:conf/pads,PADS (C),,27,B1
dblp:conf/ijcnn,IJCNN (C),,46,A2
dblp:conf/ssd,SSD (C),,,
dblp:journals/jsyml,JSYML (J),,,
dblp:journals/jbcs,JBCS (J),,,
dblp:conf/tapsoft,TAPSOFT (C),,,
dblp:journals/jcphy,JCPHY (J),,,
dblp:journals/tkdd,TKDD (J),,,
dblp:journals/sigir,SIGIR (J),,,
dblp:conf/icsm,ICSM (C),,53,A2
dblp:conf/ride,RIDE (C),,24,B1
dblp:conf/tphol,TPHOL (C),,,
dblp:conf/iceis,ICEIS (C),,24,B1
dblp:journals/toc,TOC (J),,,
dblp:conf/npar,NPAR (C),,39,A2
dblp:conf/alt,ALT (C),,24,B1
dblp:journals/sigarch,SIGARCH (J),,,
dblp:journals/sigsoft,SIGSOFT (J),,,
dblp:conf/fpca,FPCA (C),,,
dblp:conf/bibm,BIBM (C),,9,B4
dblp:journals/jcst,JCST (J),,,B2
dblp:conf/wetice,WETICE (C),,33,B1
dblp:conf/db-workshops,DB-WORKSHOPS (C),,,
dblp:conf/ih,IH (C),,26,B1
dblp:journals/sigecom,SIGECOM (J),,,
dblp:conf/lrec,LREC (C),,49,A2
dblp:conf/avi,AVI (C),,38,A2
dblp:conf/pepm,PEPM (C),,25,B1
dblp:journals/ibmrd,IBMRD (J),,,A1
dblp:series/ais,AIS (series),,,
dblp:conf/mdm,MDM (C),,38,A2
dblp:conf/icfem,ICFEM (C),,27,B1
dblp:journals/fac,FAC (J),,,A2
dblp:conf/colcom,COLCOM (C),,,
dblp:conf/emmcvpr,EMMCVPR (C),,,
dblp:conf/dexaw,DEXAW (C),,,
dblp:journals/endm,ENDM (J),,,B3
dblp:journals/networks,NETWORKS (J),,,B1
dblp:conf/iccl,ICCL (C),,2,B5
dblp:journals/nn,NN (J),,,A1
