,Author,HIndex
535,JOSE EUSTAQUIO RANGEL DE QUEIROZ,33
536,Hemerson Pistori,10
537,Flavio Miguel Varejao,
538,Fernando Antonio Mota Trinta,
539,Carla Faria Leitao,
540,Rosana Teresinha Vaccare Braga,11
541,Michael Anthony Stanton,17
542,Adriano Bessa Albuquerque,2
543,MARCIA HELENA COSTA FAMPA,
544,Rogerio Cid Bastos,23
545,Arthur Ronald de Vallauris Buchsbaum,7
546,Andre Luiz Pires Guedes,10
547,Cicero Nogueira dos Santos,9
548,Rosangela Aparecida Dellosso Penteado,
549,Debora Maria Barroso Paiva,
550,Thiago Alexandre Salgueiro Pardo,22
551,Anamaria Gomide,
552,Eduardo Augusto Bezerra,6
553,Alex Sandro Gomes,15
554,Paulo Estevao Cruvinel,1
555,Newton Jose Vieira,
556,Pedro Porfirio Muniz Farias,14
557,Rita Maria da Silva Julia,
558,Said Sadique Adi,
559,Hana Karina Salles Rubinsztejn,
560,Andreia Malucelli,10
561,Ana Paula Terra Bacelo,
562,Ricardo Pereira e Silva,8
563,Daniel Weingaertner,
564,SUSANA SCHEIMBERG DE MAKLER,
565,Raimundo da Silva Barreto,10
566,Eduardo James Pereira Souto,
567,Jose Luis Almada Guntzel,7
568,Carlos Roberto Lopes,33
569,Priscila America Solis M. Barreto,
570,Elias Silva de Oliveira,7
571,Arthur Torgo Gomez,16
572,Credine Silva de Menezes,
573,Taisy Silva Weber,9
574,Pedro Frosi Rosa,23
575,Adelmo Luis Cechin,
576,Marcelo Gomes de Queiroz,16
577,Mauricio Fernandes Figueiredo,15
578,Gina Maira Barbosa Oliveira,13
579,Olinto Jose Varela Furtado,
580,Ariadne Maria Brito Rizzoni Carvalho,
581,Alberto Nogueira de Castro Junior,18
582,Jaelson Freire Brelaz de Castro,23
583,Placido Rogerio Pinheiro,13
584,Milene Selbach Silveira,10
585,Marcelo de Almeida Maia,7
586,Raul Fernando Weber,
587,Helena de Medeiros Caseli,10
588,Fernando Alvaro Ostuni Gauthier,7
589,Regina Celia Paula Leal Toledo,8
590,Tayana Uchoa Conte,10
591,Lucia Helena Machado Rino,
592,Marcel Vinicius Medeiros Oliveira,13
593,MIGUEL FRANKLIN DE CASTRO,46
594,Luiz Paulo Luna de Oliveira,19
595,Walter Figueiredo Mascarenhas,
596,Vicente Garibay Cancho,
597,Marcia Aparecida Fernandes,7
598,Maria Bernadete Zanusso,
599,Irineu Sotoma,
600,Roberto Andre Hexsel,
601,Luis Fernando Friedrich,
602,RUBEM PINTO MONDAINI,1
603,Maristela Oliveira dos Santos,6
604,Marinho Gomes de Andrade Filho,22
605,Jose Vicente Canto dos Santos,33
606,Dalton Francisco de Andrade,
607,Luis Allan Kunzle,
