0043-1354	Water Research (Oxford)	A2	ASTRONOMIA / FÍSICA	Atualizado
0001-5237	Acta Astronomica	B1	ASTRONOMIA / FÍSICA	Atualizado
0065-2504	Advances in Ecological Research	B1	ASTRONOMIA / FÍSICA	Atualizado
0898-8838	Advances in Inorganic Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0939-4451	Amino Acids (Wien. Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0003-2670	Analytica Chimica Acta (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1618-2642	Analytical and Bioanalytical Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0003-2697	Analytical Biochemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0066-4804	Antimicrobial Agents and Chemotherapy (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0926-860X	Applied Catalysis. A, General (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0947-8396	Applied Physics. A, Materials Science & Processing (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0946-2171	Applied Physics. B, Lasers and Optics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0166-445X	Aquatic Toxicology	B1	ASTRONOMIA / FÍSICA	Atualizado
1352-2310	Atmospheric Environment (1994)	B1	ASTRONOMIA / FÍSICA	Atualizado
0092-640X	Atomic Data and Nuclear Data Tables (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0006-291X	Biochemical and Biophysical Research Communications (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1369-703X	Biochemical Engineering Journal	B1	ASTRONOMIA / FÍSICA	Atualizado
0006-2960	Biochemistry (Easton)	B1	ASTRONOMIA / FÍSICA	Atualizado
1570-9639	Biochimica et Biophysica Acta. Proteins and Proteomics	B1	ASTRONOMIA / FÍSICA	Atualizado
0300-9084	Biochimie (Paris. Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1726-4170	Biogeosciences (Katlenburg-Lindau. Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1934-8630	Biointerphases	B1	ASTRONOMIA / FÍSICA	Atualizado
1559-4106	BIOINTERPHASES	B1	ASTRONOMIA / FÍSICA	Atualizado
1745-6150	Biology Direct	B1	ASTRONOMIA / FÍSICA	Atualizado
1744-9561	Biology Letters (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0006-3363	Biology of Reproduction	B1	ASTRONOMIA / FÍSICA	Atualizado
0961-9534	Biomass & Bioenergy	B1	ASTRONOMIA / FÍSICA	Atualizado
2156-7085	Biomedical Optics Express	B1	ASTRONOMIA / FÍSICA	Atualizado
0966-0844	BioMetals (Oxford)	B1	ASTRONOMIA / FÍSICA	Atualizado
0968-0896	Bioorganic & Medicinal Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0301-4622	Biophysical Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0006-3525	Biopolymers (New York. Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0960-8524	Bioresource Technology	B1	ASTRONOMIA / FÍSICA	Atualizado
0006-3592	Biotechnology and Bioengineering (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1471-2164	BMC Genomics	B1	ASTRONOMIA / FÍSICA	Atualizado
1471-2229	BMC Plant Biology (Online)	B1	ASTRONOMIA / FÍSICA	Atualizado
1472-6807	BMC Structural Biology (Online)	B1	ASTRONOMIA / FÍSICA	Atualizado
8756-3282	Bone (New York, N.Y.)	B1	ASTRONOMIA / FÍSICA	Atualizado
0896-0267	Brain Topography	B1	ASTRONOMIA / FÍSICA	Atualizado
0103-9733	Brazilian Journal of Physics (Impresso)	B1	ASTRONOMIA / FÍSICA	Atualizado
0304-3835	Cancer Letters (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0144-8617	Carbohydrate Polymers	B1	ASTRONOMIA / FÍSICA	Atualizado
1566-7367	Catalysis Communications (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0923-2958	Celestial Mechanics & Dynamical Astronomy	B1	ASTRONOMIA / FÍSICA	Atualizado
1085-9195	Cell Biochemistry and Biophysics	B1	ASTRONOMIA / FÍSICA	Atualizado
0333-1024	Cephalalgia (Oslo)	B1	ASTRONOMIA / FÍSICA	Atualizado
1054-1500	Chaos (Woodbury, N.Y.)	B1	ASTRONOMIA / FÍSICA	Atualizado
1385-8947	Chemical Engineering Journal (1996)	B1	ASTRONOMIA / FÍSICA	Atualizado
0009-2541	Chemical Geology	B1	ASTRONOMIA / FÍSICA	Atualizado
0009-2614	Chemical Physics Letters (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0301-0104	Chemical Physics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1198-743X	Clinical Microbiology and Infection (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0303-402X	Colloid and Polymer Science (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0927-7765	Colloids and Surfaces. B, Biointerfaces (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1007-5704	Communications in Nonlinear Science & Numerical Simulation	B1	ASTRONOMIA / FÍSICA	Atualizado
1359-835X	Composites. Part A, Applied Science and Manufacturing	B1	ASTRONOMIA / FÍSICA	Atualizado
0010-4655	Computer Physics Communications	B1	ASTRONOMIA / FÍSICA	Atualizado
0010-7514	Contemporary Physics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0010-938X	Corrosion Science	B1	ASTRONOMIA / FÍSICA	Atualizado
1568-0266	Current Topics in Medicinal Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0109-5641	Dental Materials	B1	ASTRONOMIA / FÍSICA	Atualizado
1568-7864	DNA Repair (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0906-7590	Ecography (Copenhagen)	B1	ASTRONOMIA / FÍSICA	Atualizado
1040-0397	Electroanalysis (New York, N.Y.)	B1	ASTRONOMIA / FÍSICA	Atualizado
0013-4686	Electrochimica Acta	B1	ASTRONOMIA / FÍSICA	Atualizado
0887-0624	Energy & Fuels (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1748-9326	Environmental Research Letters	B1	ASTRONOMIA / FÍSICA	Atualizado
0013-9580	Epilepsia (Copenhagen)	B1	ASTRONOMIA / FÍSICA	Atualizado
1535-9778	Eukaryotic Cell	B1	ASTRONOMIA / FÍSICA	Atualizado
0175-7571	European Biophysics Journal	B1	ASTRONOMIA / FÍSICA	Atualizado
1434-1948	European Journal of Inorganic Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0223-5234	European Journal of Medicinal Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizado
1434-193X	European Journal of Organic Chemistry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0939-6411	European Journal of Pharmaceutics and Biopharmaceutics	B1	ASTRONOMIA / FÍSICA	Atualizado
0720-048X	European Journal of Radiology	B1	ASTRONOMIA / FÍSICA	Atualizado
1434-6001	European Physical Journal. A, Hadrons and Nuclei (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0014-3057	European Polymer Journal	B1	ASTRONOMIA / FÍSICA	Atualizado
0308-8146	Food Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizado
1662-5188	Frontiers in Computational Neuroscience	B1	ASTRONOMIA / FÍSICA	Atualizado
1662-5110	Frontiers in Neural Circuits	B1	ASTRONOMIA / FÍSICA	Atualizado
0016-2361	Fuel (Guildford)	B1	ASTRONOMIA / FÍSICA	Atualizado
0001-7701	General Relativity and Gravitation	B1	ASTRONOMIA / FÍSICA	Atualizado
0016-7037	Geochimica et Cosmochimica Acta	B1	ASTRONOMIA / FÍSICA	Atualizado
0094-8276	Geophysical Research Letters	B1	ASTRONOMIA / FÍSICA	Atualizado
0309-0167	Histopathology (Oxford. Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0018-9197	IEEE Journal of Quantum Electronics	B1	ASTRONOMIA / FÍSICA	Atualizado
1943-0655	IEEE Photonics Journal	B1	ASTRONOMIA / FÍSICA	Atualizado
0018-9383	IEEE Transactions on Electron Devices	B1	ASTRONOMIA / FÍSICA	Atualizado
0018-9448	IEEE Transactions on Information Theory	B1	ASTRONOMIA / FÍSICA	Atualizado
1045-9227	IEEE Transactions on Neural Networks	B1	ASTRONOMIA / FÍSICA	Atualizado
0966-9795	Intermetallics (Barking)	B1	ASTRONOMIA / FÍSICA	Atualizado
1387-3806	International Journal of Mass Spectrometry (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1176-9114	International Journal of Nanomedicine (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1565-1339	International Journal of Nonlinear Sciences and Numerical Simulation	B1	ASTRONOMIA / FÍSICA	Atualizado
0378-5173	International Journal of Pharmaceutics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0146-0404	Investigative Ophthalmology & Visual Science	B1	ASTRONOMIA / FÍSICA	Atualizado
0021-8561	Journal of Agricultural and Food Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizado
0925-8388	Journal of Alloys and Compounds	B1	ASTRONOMIA / FÍSICA	Atualizado
0021-8979	Journal of Applied Physics	B1	ASTRONOMIA / FÍSICA	Atualizado
8750-7587	Journal of Applied Physiology (1985)	B1	ASTRONOMIA / FÍSICA	Atualizado
0305-0270	Journal of Biogeography (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1549-3296	Journal of Biomedical Materials Research. Part A	B1	ASTRONOMIA / FÍSICA	Atualizado
1552-4973	Journal of Biomedical Materials Research. Part B, Applied Biomaterials	B1	ASTRONOMIA / FÍSICA	Atualizado
1083-3668	Journal of Biomedical Optics	B1	ASTRONOMIA / FÍSICA	Atualizado
0021-9614	Journal of Chemical Thermodynamics	B1	ASTRONOMIA / FÍSICA	Atualizado
0894-8755	Journal of Climate	B1	ASTRONOMIA / FÍSICA	Atualizado
0021-9797	Journal of Colloid and Interface Science (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
1572-6657	Journal of Electroanalytical Chemistry	B1	ASTRONOMIA / FÍSICA	Atualizado
0022-1120	Journal of Fluid Mechanics (Print)	B1	ASTRONOMIA / FÍSICA	Atualizado
0148-0227	Journal of Geophysical Research	B1	ASTRONOMIA / FÍSICA	Atualizado
