author,a_name,score
170854,Antonios Michaloliakos,1
184207,Horia Vlad Balan,1
200794,Ryan Rogalin,1
447,Raouf Boutaba,1
19978,Nizar Bouabdallah,1
25805,Rami Langar,1
143316,Mosharaf Chowdhury,1
144119,Muntasir Raihan Rahman,1
26009,Jin Xiao,1
55573,Reaz Ahmed,1
41228,Jérôme François,1
64159,Issam Aib,1
457,Yishay Mansour,1
4405,Boaz Patt-Shamir,1
461,Lin Chen,1
3066,Antonio Capone,1
17153,Fabio Martignon,1
54889,Ilario Filippini,1
56463,Stefano Paris,1
246184,Ramu S. Ramamurthy,1
213257,Jason Iness,1
285234,Feiling Jia,1
209461,Marwan Batayneh,1
324081,Dragos Andrei,1
26408,Hui Zang,1
80500,Keyao Zhu,1
230921,Hongyue Zhu,1
296787,Aysegül Gençata,1
131457,Amarnath Mukherjee,1
208655,Dhritiman Banerjee,1
309892,S. Ramamurthy,1
20645,Sudhir S. Dixit,1
59587,Hong-Hsu Yen,1
110478,Suman Sarkar,1
51360,Ming Xia,1
135382,Ferhat Dikbiyik,1
151537,Laxman H. Sahasrabuddhe,1
126225,Ching-Fong Su,1
221806,Smita Rai,1
187523,Narendra K. Singhal,1
4672,Byrav Ramamurthy,1
293676,Srini B. Tridandapani,1
679456,Geir Hallingstad,1
28090,Dominic A. Schupke,1
66093,Marco Hoffmann,1
93661,Andreas Kirstädter,1
31844,Jing Zhang 0003,1
70354,Norman S. Matloff,1
91400,Subrata Banerjee,1
117886,Canhui Ou,1
398910,Omkar Deshpande,1
6075,Jason P. Jue,1
17601,Lei Song,1
13771,Sheng Huang,1
917,Yang Song,1
14065,Yanchao Zhang,1
24429,Miao Pan,1
57574,Hao Yue,1
19677,Pan Li 0001,1
483,S. Muthukrishnan,1
2453,Graham Cormode,1
504,Sartaj Sahni,1
329766,Meongchul Song,1
61423,Haibin Lu,1
124585,Wencheng Lu,1
106183,Kun Suk Kim,1
523,Calton Pu,1
70277,Michael F. Schwartz,1
15302,Sen Su,1
259314,Yuanjie Li,1
735138,Jiangwei Yu,1
14228,Yongguang Zhang,1
30636,Kun Tan,1
3760,David Lee,1
23260,Xia Yin,1
63802,Ruibing Hao,1
309807,Dongluo Chen,1
533,J. J. Garcia-Luna-Aceves,1
152230,Shree Murthy,1
15822,Qing Zhu,1
336429,Mehrdad Parsa,1
59313,Rolando Menchaca-Mendez,1
5992,Tansu Alpcan,1
169759,Shao Liu,1
537,Shlomi Dolev,1
8689,Amos Beimel,1
711303,Noam Singer,1
4737,Jennifer L. Welch,1
35277,Arkady Kanevsky,1
41207,Brian A. Coan,1
93982,Hosame Abu-Amara,1
10641,Xiaojun Lin,1
269274,Longbi Lin,1
8813,Prasun Sinha,1
24504,Changhee Joo,1
35959,Shengbo Chen,1
7698,Song Chong,1
9119,Yung Yi,1
9342,Injong Rhee,1
42441,Kyunghan Lee,1
159232,Yoora Kim,1
111078,Sungoh Kwon,1
119151,Jinwoo Choe,1
16002,Chih-Chun Wang,1
30828,Abdallah Khreishah,1
48670,Jin-Ghoo Choi,1
17167,Shuang Li,1
50560,Zizhan Zheng,1
17409,Jang-Won Lee,1
32736,Ravi Mazumdar,1
4166,Sonia Fahmy,1
236548,Yan Wu 0004,1
25519,Do Young Eun,1
3602,Edwin K. P. Chong,1
181472,Mingbo Xiao,1
102478,Gagan Raj Gupta,1
100124,Dongyu Qiu,1
105713,Joohwan Kim,1
92843,Bo Ji,1
1846,Eytan Modiano,1
8350,Long Bao Le,1
42840,Junyi Li,1
155659,Zhoujia Mao,1
227888,Han S. Kim,1
147510,Srikanth Hariharan,1
122672,Dajun Qian,1
17717,Mischa Schwartz,1
3369,Gaurav Sharma,1
25372,Ravi R. Mazumdar,1
7441,Lei Ying,1
21475,Jian Tan,1
309934,B. T. Swapna,1
587,Xiaohua Jia,1
2999,Jianping Wang,1
4330,Guoliang Xing,1
11331,Benyuan Liu,1
35886,Rui Tan,1
3068,Niki Pissinou,1
7368,Hai Liu,1
18695,Chih-Wei Yi,1
45252,S. Kami Makki,1
1605,Jean-Pierre Hubaux,1
5149,Catherine Rosenberg,1
31940,André Girard,1
95603,Liu Xiang,1
601,Pascal Frossard,1
10662,Jacob Chakareski,1
24869,Stefania Colonnese,1
89307,Lorenzo Rossi,1
603,Karl Henrik Johansson,1
2548,Steven H. Low,1
7421,Håkan Hjalmarsson,1
9623,Lachlan L. H. Andrew,1
214393,Krister Jacobsson,1
9743,Subhabrata Sen,1
5122,Alex X. Liu,1
43504,Jeffrey Pang,1
58874,Lusheng Ji,1
75691,Muhammad Zubair Shafiq,1
643,Yu-Chee Tseng,1
1905,Jang-Ping Sheu,1
1157891,Yu-Chi Chueh,1
655,Yuanyuan Yang,1
12316,Sangjin Hong,1
112381,Xi Deng,1
12141,Zhenghao Zhang,1
14556,Hung Q. Ngo,1
255165,Dazhen Pan,1
133490,Xiangdong Qin,1
661,Lei Yang,1
5001,Ben Y. Zhao,1
8038,Haitao Zheng,1
14032,Xue Yang,1
163814,Vinod Kone,1
29567,Hongseok Kim,1
666,Marco Conti,1
4603,Enrico Gregori,1
374857,Federico Calì,1
668,Mani B. Srivastava,1
14598,Deepak Ganesan,1
83512,Saurabh Ganeriwal,1
104117,Vlasios Tsiatsis,1
250224,Ilias Tsigkogiannis,1
639032,Hohyun Shim,1
686,Jon W. Mark,1
218761,Guo-Liang Wu,1
288787,David X. Chen,1
270311,Hyong W. Lee,1
9393,Nasir Ghani,1
688,Nirwan Ansari,1
17814,Jingjing Zhang,1
702,Moe Z. Win,1
8997,Ying Jun Zhang,1
17189,Yuan Shen,1
141699,William Weiliang Li,1
10027,Andrea Conti,1
39378,Alberto Rabbachin,1
100923,Wenhan Dai,1
2186,Magnús M. Halldórsson,1
62009,Olga Goussevskaia,1
8071,Fabian Kuhn,1
94090,Aaron Zollinger,1
152458,Pascal von Rickenbach,1
715,Prasant Mohapatra,1
163332,Ashima Gupta,1
203647,Debalina Ghosh,1
4797,Chen-Nee Chuah,1
66901,Lihua Yuan,1
6725,Albert G. Greenberg,1
145953,Chao-Chih Chen,1
21437,Venkatesh Akella,1
25422,Matthew K. Farrens,1
190101,Paul Congdon,1
9834,Kai Zeng,1
70956,Shaxun Chen,1
717,Panos M. Pardalos,1
2562,Taieb Znati,1
9738,My T. Thai,1
52280,Thang N. Dinh,1
116295,Ying Xuan,1
720,Ramjee Prasad,1
15642,Hans-Peter Schwefel,1
366267,Marjan Bozinovski,1
729,Jin Zhang,1
1752,Stefan Schmid,1
3282,Christian Scheideler,1
14159,Andréa W. Richa,1
1514,Guoliang Xue,1
27107,Satyajayant Misra,1
29938,Dejun Yang,1
33767,Xi Fang,1
733,Scott Shenker,1
4040,Nick McKeown,1
13090,Michael J. Freedman,1
56478,Martín Casado,1
179842,Jianying Luo,1
203740,Justin Pettit,1
407597,Natasha Gude,1
1338,Deborah Estrin,1
371699,Shai Herzog,1
2680,Lixia Zhang 0001,1
557860,Ron Cocchi,1
1301,Ion Stoica,1
15847,Matthew Caesar,1
24550,Brighten Godfrey,1
52206,Yaron Singer,1
622134,Ian Haken,1
10041,Lili Qiu,1
16681,Yang Richard Yang,1
6457,Hui Zhang 0001,1
18559,Eddie Kohler,1
29647,Jinyang Li,1
97655,Sonesh Surana,1
133152,Shelley Zhuang,1
254783,Daniel Adkins,1
26573,Sugih Jamin,1
54164,Peter B. Danzig,1
287844,Ching-Gung Liu,1
737,Tarek F. Abdelzaher,1
8772,Jörg Liebeherr,1
13408,Nicolas Christin,1
740,Gene Tsudik,1
126043,Martha Steenstrup,1
745,Brian D. O. Anderson,1
4940,Guoqiang Mao,1
747,Jun Guo,1
2248,Moshe Zukerman,1
15109,Yu Peng,1
19674,Zvi Rosberg,1
31297,Eric W. M. Wong,1
64623,Jing Fu,1
757,Ning Li,1
4760,Jennifer C. Hou,1
766,Anthony Ephremides,1
20523,Sastry Kompella,1
27766,Jeffrey E. Wieselthier,1
41295,Gam D. Nguyen,1
187075,Clement Kam,1
1360,Hanif D. Sherali,1
773,Bhaskar D. Rao,1
23572,Konstantinos Pelechrinis,1
30133,Ioannis Broustis,1
103363,Tae-Suk Kim,1
151403,Jianxia Ning,1
219772,Ece Gelal,1
12506,Tara Javidi,1
62765,Mohammad Naghshvar,1
105709,Abhijeet Bhorkar,1
793,Vikram Krishnamurthy,1
112594,Teerawat Issariyakul,1
7394,Ten-Hwang Lai,1
821,Weihua Zhuang,1
16625,Patrick Mitran,1
574459,Md. Forkan Uddin,1
839,Henning Schulzrinne,1
7601,Xiaoming Fu,1
12036,Dieter Hogrefe,1
61972,Hannes Tschofenig,1
520673,Christian Dickmann,1
34452,Jack Brassil,1
23972,Erich M. Nahum,1
71116,Charles P. Wright,1
166103,Charles Shen,1
18169,Xin Wang 0001,1
28170,Dinesh C. Verma,1
121502,Eli Brosh,1
122166,Salman Abdul Baset,1
857,Baochun Li,1
8644,Chuan Wu,1
107527,Shuqiao Zhao,1
2211,Hari Balakrishnan,1
5476,Srinivasan Seshan,1
14311,Venkata N. Padmanabhan,1
872,Josep Domingo-Ferrer,1
9875,Bo Qin,1
9882,Qianhong Wu,1
44427,Lei Zhang 0009,1
335594,Jesús A. Manjón,1
891,Lang Tong,1
1924,Qing Zhao,1
143495,Parvathinathan Venkitasubramaniam,1
892,Boleslaw K. Szymanski,1
51492,Eyuphan Bulut,1
78872,Zijian Wang,1
898,Urbashi Mitra,1
5986,John S. Heidemann,1
238313,Gautam Thatte,1
905,C. Siva Ram Murthy,1
11175,G. Manimaran,1
344519,Hariharan Shankar Rahul,1
26928,P. Krishna Gummadi,1
521720,Jnana Pradeep Madhavarapu,1
217182,Sushant Sinha,1
1804,Arun K. Somani,1
91481,G. Mohan,1
29870,Sriram Raghavan,1
908,Rami G. Melhem,1
37404,Ran Libeskind-Hadas,1
4581,Xin Yuan,1
30204,Zhenhai Duan,1
200390,Wickus Nienaber,1
913,John C. S. Lui,1
9965,Dah-Ming Chiu,1
281938,Bridge Qiao Zhao,1
35859,Yan Hu,1
7150,David K. Y. Yau,1
12445,Patrick P. C. Lee,1
22848,Bin Fan,1
24879,Richard T. B. Ma,1
31608,Dah Ming Chiu,1
19024,Yongkun Li,1
10357,Feng Liang,1
36402,Yeung Yam,1
678279,Matthew K. H. Leung,1
53771,Yipeng Zhou,1
163629,Sam C. M. Lee,1
94520,Péter Babarczi,1
24813,Basem Shihada,1
45845,Gangxiang Shen,1
113004,Ahmad R. Dhaini,1
23332,Tibor Cinkler,1
