,0
522,Georgia Institute of Technology 
523,University of California-Los Angeles 
524,University of California-Santa Barbara 
525,Nanyang Technological University 
526,University of Kentucky 
527,University of California-Los Angeles 
528,New York University 
529,University of Illinois at Chicago 
530,University of Utah 
531,Stanford University 
532,Columbia University 
533,University of North Texas 
534,Syracuse University Main Campus 
535,University of Washington 
536,Columbia University 
537,Universidade Federal de Minas Gerais 
538,Colorado State University 
539,University of Illinois at Urbana-Champaign 
540,Northwestern University 
541,Massachusetts Institute of Technology 
542,University of Maryland College Park 
543,Northwestern University 
544,University of California-Davis 
545,Brigham Young University 
546,Stony Brook University 
547,University of Southern California 
548,Massachusetts Institute of Technology 
549,TU Delft 
550,University of Maryland-Baltimore County 
551,Imperial College London 
552,University of California-Irvine 
553,Rochester Institute of Technology 
554,University of Kansas 
555,ETH Zurich 
556,Western University 
557,Arizona State University 
558,University of Washington 
559,Universidade Federal do Amazonas 
560,State University of New York at Stony Brook 
561,Massey University 
562,University of Maryland-Baltimore County 
563,University of Michigan 
564,Concordia University 
565,ETH Zurich 
566,Nanyang Technological University 
567,George Mason University 
568,IIT Bombay 
569,University of Chicago 
570,Carnegie Mellon University 
571,University of Pennsylvania 
572,University of Central Florida 
573,IIIT Hyderabad 
574,University of Massachusetts Amherst 
575,Carnegie Mellon University 
576,University of Arizona 
577,University of Southern California 
578,Duke University 
579,National University of Singapore 
580,University of Virginia 
581,Massachusetts Institute of Technology 
582,University of Arkansas Main Campus 
583,Politecnico di Milano 
584,University of Washington 
585,Massachusetts Institute of Technology 
586,EPFL 
587,Rensselaer Polytechnic Institute 
588,University of Texas at Dallas 
589,Western University 
590,Georgia Institute of Technology 
591,University of California-Los Angeles 
592,University of Zurich 
593,University of Southern California 
594,Stanford University 
595,Politecnico di Milano 
596,University of Central Florida 
597,State University of New York at Stony Brook 
598,North Dakota State University Main Campus 
599,University of Tartu 
600,Georgia State University 
601,University of California-Santa Cruz 
602,Massachusetts Institute of Technology 
603,University of Massachusetts Amherst 
604,University of Washington 
605,Western Michigan University 
606,Worcester Polytechnic Institute 
607,Cornell University 
608,Colorado State University 
609,Athens University of Economics and Business 
610,University of Maryland-College Park 
611,Worcester Polytechnic Institute 
612,Georgetown University 
613,University of Washington 
614,George Mason University 
615,University of Texas at Austin 
616,University of Alberta 
617,Universidade Federal do Rio Grande do Sul 
618,Harvard University 
619,University of Toronto 
620,University of California-Berkeley 
621,Michigan State University 
622,University of Southern California 
623,University of Pennsylvania 
624,University of Toronto 
625,University of Massachusetts Amherst 
626,IIIT Bangalore 
627,University of California-Santa Cruz 
628,Politecnico di Milano 
629,Southern Methodist University 
630,Florida State University 
631,Worcester Polytechnic Institute 
632,Universidade Federal de Minas Gerais 
633,Cornell University 
634,University of California-Santa Cruz 
635,University of Minnesota 
636,Worcester Polytechnic Institute 
637,Tufts University 
638,University of Maryland-College Park 
639,University of Wisconsin-Madison 
640,Emory University 
641,IIT Madras 
642,Indiana University at Bloomington 
643,University of Massachusetts Amherst 
644,Washington State University 
645,University of California-Berkeley 
646,Michigan State University 
647,University of Louisiana at Lafayette 
648,Stanford University 
649,Arizona State University 
650,Carnegie Mellon University 
651,Purdue University Main Campus 
652,Carleton University 
653,Cornell University 
654,IIT Delhi 
655,IIT Delhi 
656,Universidade Federal do Ceará 
657,Emory University 
658,Johns Hopkins University 
659,State University of New York at Albany 
660,University of Louisiana at Lafayette 
661,University of Colorado at Boulder 
662,New Mexico State University 
663,University of California-Santa Cruz 
664,Rutgers University 
665,Purdue University Main Campus 
666,IIT Delhi 
667,University of Wisconsin-Madison 
668,University of Melbourne 
669,Purdue University Main Campus 
670,University of Warsaw 
671,University of Alabama at Birmingham 
672,University of Oregon 
673,University of Illinois at Urbana-Champaign 
674,Duke University 
675,Rutgers University 
676,University of Rochester 
677,Georgia Institute of Technology 
678,University of California-Irvine 
679,Illinois Institute of Technology 
680,USP - São Carlos 
681,Carnegie Mellon University 
682,University of Queensland 
683,EPFL 
684,Stevens Institute of Technology 
685,Australian National University 
686,University of Oxford 
687,Brown University 
688,University of California-Santa Barbara 
689,Politecnico di Milano 
690,Columbia University 
691,TU Dresden 
692,University of Oxford 
693,Stony Brook University 
694,North Carolina State University 
695,Florida International University 
696,University of North Carolina 
697,University of Texas at Austin 
698,Concordia University 
699,University of Michigan-Ann Arbor 
700,University of Maryland-College Park 
701,University of California-Davis 
702,University of Pittsburgh 
703,Rochester Institute of Technology 
704,Politecnico di Milano 
705,Universidade Federal de Minas Gerais 
706,University of Illinois at Urbana-Champaign 
707,Imperial College London 
708,University of Toronto 
709,IIIT Hyderabad 
710,Queen’s University 
711,ETH Zurich 
712,Stanford University 
713,University of California-Berkeley 
714,New York University 
715,University of Virginia 
716,Nanyang Technological University 
717,Georgia Institute of Technology 
718,North Carolina State University 
719,University of Auckland 
720,Worcester Polytechnic Institute 
721,Auburn University 
722,Indiana University 
723,Boston University 
724,Colorado State University 
725,University of Pennsylvania 
726,Stanford University 
727,USP - São Carlos 
728,EPFL 
729,Northwestern University 
730,University of Minnesota-Twin Cities 
731,University of Maryland-College Park 
732,University of Pennsylvania 
733,Georgetown University 
734,University of California-Riverside 
735,Victoria University of Wellington 
736,TU Munich 
737,IIIT Delhi 
738,Brown University 
739,IIT Bombay 
740,College of William and Mary 
741,University of Michigan 
742,University of Cambridge 
743,University of Wisconsin-Madison 
744,University of Waterloo 
745,North Carolina State University 
746,University of California-Berkeley 
747,University of Waterloo 
748,University of Notre Dame 
749,University of Edinburgh 
750,University of Texas at Austin 
751,Washington State University 
752,University of California-Santa Barbara 
753,University of Warsaw 
754,University of Edinburgh 
755,University of Virginia 
756,IIT Madras 
757,Carnegie Mellon University 
758,Harvard University 
759,Pontifícia Universidade Católica do Rio de Janeiro 
760,Pennsylvania State University 
761,Florida International University 
762,University of Waterloo 
763,Brown University 
764,University of Connecticut 
765,University of Texas at Austin 
766,Carnegie Mellon University 
767,Rensselaer Polytechnic Institute 
768,EPFL 
769,Boise State University 
770,IIT Bombay 
771,University of Pennsylvania 
772,Old Dominion University 
773,Naval Postgraduate School 
774,Cornell University 
775,Northwestern University 
776,University of Illinois at Chicago 
777,University at Buffalo 
778,University of California-Berkeley 
779,North Carolina State University 
780,Universidade Federal de Santa Catarina 
781,Pennsylvania State University 
782,University of Pennsylvania 
783,University of Southern California 
784,University of Alberta 
785,Northeastern University 
786,University of Miami 
787,DIKU 
788,Cornell University 
789,University of Calgary 
790,George Mason University 
791,University of Melbourne 
792,University of Southern California 
793,Technion-Israel Institute of Technology 
794,Simon Fraser University 
795,Carnegie Mellon University 
796,California Institute of Technology 
797,Georgia Institute of Technology 
798,Columbia University 
799,Massachusetts Institute of Technology 
800,Princeton University 
801,Imperial College London 
802,Northeastern University 
803,Syracuse University Main Campus 
804,University of Alabama 
805,University of Maryland-Baltimore County 
806,University of Toronto 
807,University of Kent 
808,University of California-Santa Cruz 
809,Case Western Reserve University 
810,University of Massachusetts Amherst 
811,Indiana University 
812,McMaster University 
813,University of California-Berkeley 
814,Brigham Young University 
815,University of California-Santa Cruz 
816,University of California-Los Angeles 
817,University of British Columbia 
818,ETH Zurich 
819,University of Waterloo 
820,University of South Florida 
821,Politecnico di Milano 
822,École Polytechnique ParisTech 
823,University of Illinois at Chicago 
824,University of California-Santa Cruz 
825,National University of Singapore 
826,Massachusetts Institute of Technology 
827,University of Michigan 
828,University of Maryland-Baltimore County 
829,Georgia Institute of Technology 
830,Purdue University Main Campus 
831,University of California-San Diego 
832,Florida International University 
833,Stanford University 
834,University of California-Berkeley 
835,University of Sydney 
836,Universidade Federal de Santa Catarina 
837,University of Florida 
