,0
796,Washington University in St. Louis 
797,Wright State University Main Campus 
798,Carnegie Mellon University 
799,University of Florida 
800,University of Sydney 
801,Politecnico di Milano 
802,Michigan State University 
803,Northeastern University 
804,University of Western Australia 
805,University of Southern California 
806,University of Tennessee 
807,University of British Columbia 
808,University of Sydney 
809,Concordia University 
810,Georgia State University 
811,McGill University 
812,University of British Columbia 
813,Purdue University Main Campus 
814,National University of Singapore 
815,University of Florida 
816,University of Calgary 
817,Oregon State University 
818,Florida International University 
819,University of Southern California 
820,Victoria University of Wellington 
821,Purdue University Main Campus 
822,University of California-Santa Barbara 
823,National University of Singapore 
824,Universidade Federal do Rio Grande do Sul 
825,University of Sydney 
826,University of Cincinnati Main Campus 
827,University of Tennessee 
828,EPFL 
829,State University of New York at Buffalo 
830,Northwestern University 
831,Western University 
832,University of Virginia 
833,Northeastern University 
834,University of Maryland-Baltimore County 
835,Nanyang Technological University 
836,University of Alberta 
837,Wright State University Main Campus 
838,George Washington University 
839,Georgia State University 
840,Western University 
841,University of Wisconsin-Madison 
842,University of Tennessee 
843,Nanyang Technological University 
844,University of Tennessee 
845,North Carolina State University 
846,Nanyang Technological University 
847,Wayne State University 
848,University of Maryland-College Park 
849,University of Nebraska 
850,University of California-Davis 
851,University of Oklahoma Norman Campus 
852,University of Southern California 
853,University of Arizona 
854,Universidade Federal do Rio Grande do Sul 
855,University of Toronto 
856,North Carolina State University 
857,Universidade Federal de São Carlos 
858,University of California-Los Angeles 
859,University of South Florida 
860,University of Alberta 
861,Michigan State University 
862,California Institute of Technology 
863,North Carolina State University 
864,University of Sydney 
865,University at Buffalo 
866,Universidade Estadual de Campinas 
867,University of Washington 
868,Nanyang Technological University 
869,University of Minnesota 
870,Stanford University 
871,Bar-Ilan University 
872,University of Luxembourg 
873,Brigham Young University 
874,University of Notre Dame 
875,University of California-Berkeley 
876,Indiana University 
877,University of Nebraska 
878,Texas A&M University 
879,USP - São Carlos 
880,University of Wisconsin-Madison 
881,University of Maryland-College Park 
882,Cornell University 
883,IIT Kharagpur 
884,University of Melbourne 
885,Concordia University 
886,Boston University 
887,University of California-Berkeley 
888,VU Amsterdam 
889,University of Nebraska 
890,University of Southern California 
891,University of California-Berkeley 
892,George Mason University 
893,Georgia Institute of Technology 
894,Politecnico di Milano 
895,Clemson University 
896,Carnegie Mellon University 
897,Universidade Estadual de Campinas 
898,Massachusetts Institute of Technology 
899,Hebrew University of Jerusalem 
900,University of Queensland 
901,Imperial College London 
902,University of Connecticut 
903,George Mason University 
904,University of Melbourne 
905,Technion-Israel Institute of Technology 
906,Concordia University 
907,TU Munich 
908,University of Louisiana at Lafayette 
909,Georgia State University 
910,Louisiana State University and Agricultural and Mechanical College 
911,North Carolina State University 
912,Carnegie Mellon University 
913,Indiana University 
914,Victoria University of Wellington 
915,University of Maryland-College Park 
916,University of Queensland 
917,University of Rochester 
918,University of Massachusetts Lowell 
919,University of Tartu 
920,University of California-Santa Barbara 
921,Universidade Federal de Minas Gerais 
922,Indiana University 
923,Northeastern University 
924,University of Illinois at Urbana-Champaign 
925,Michigan State University 
926,Universidade Federal Fluminense 
927,Universidade Federal Fluminense 
928,Duke University 
929,IIIT Hyderabad 
930,Vanderbilt University 
931,George Mason University 
932,New York University 
933,Johns Hopkins University 
934,Rensselaer Polytechnic Institute 
935,University at Buffalo 
