Sigla,Índice-­‐H,Estrato
ICDL,15,B3
ICDL-­‐EpiRob,19,B2
ICDLE,1,B5
ICDM,77,A1
ICDS,11,B3
ICDT,27,B1
ICDVRAT,1,B5
ICE-­‐B,7,B4
ICEB,6,B4
ICEBE,20,B2
ICEC,34,B1
ICECCS,24,B1
ICECE,5,B4
ICECS,24,B1
ICEC_A,3,B5
ICEE,16,B2
ICEIMT,7,B4
ICEIS,24,B1
ICEIT,3,B5
ICELET,2,B5
ICEMT,3,B5
ICER,7,B4
ICETC,6,B4
ICETE,5,B4
ICFCA,20,B2
ICFCSE,1,B5
ICFEM,27,B1
ICFP,53,A2
ICGEC,3,B5
ICGeS,2,B5
ICGSE,20,B2
ICGT,25,B1
ICHIT,16,B2
ICHL,6,B4
ICIAM,3,B4
ICIAP,25,B1
ICIAS,9,B4
ICICA,2,B5
ICICS,33,B1
ICIDS,13,B3
ICIG,13,B3
ICINCO,10,B4
ICIP,69,A1
ICIQ,22,B1
ICIRA,8,B4
ICIS,47,A2
ICISO,1,B5
ICISS,13,B3
ICIS_A,20,B2
ICIT,11,B3
ICITA,18,B2
ICITS,44,A2
ICIW,15,B3
ICL,2,B5
ICLP,35,B1
ICLS,24,B1
ICMA,2,B5
ICMC,32,B1
ICMCS,6,B3
ICME,66,A1
ICMI,46,A2
ICMIC,3,B5
ICML,124,A1
ICMLA,17,B2
ICMLC,6,B4
ICMPC,9,B4
ICMR,51,A2
ICMSAO,3,B5
ICMT,17,B2
ICMTS,14,B3
ICN,24,B1
ICNC,5,B4
ICNCC,1,B5
ICNP,65,A1
ICNS,14,B3
ICNSC,12,B3
ICoFCS,2,B5
ICOIN,22,B1
ICOMP,20,B2
ICON,10,B3
ICONIP,23,B1
ICONS,12,B3
ICORD,1,B5
ICORE,4,B4
ICOTA,3,B5
ICPADS,28,B1
ICPC,41,A2
ICPP,42,A2
ICPR,81,A1
ICPS,20,B2
ICRA,116,A1
ICS,52,A2
ICSC,21,B2
ICSC_A,16,B2
ICSE,117,A1
ICSEA,13,B3
ICSM,53,A2
ICSMA,7,B4
ICSNC,13,B3
ICSOB,3,B5
ICSOC,47,A2
ICSOFT,10,B4
ICSP,12,B3
ICSR,23,B1
ICSSEA,5,B4
ICSSP,3,B5
ICST,21,B2
ICSTW,14,B3
ICT,17,B2
ICTAC,15,B3
ICTAI,38,A2
ICTEL,3,B5
ICTERI,1,B5
ICTL,3,B5
ICTON,9,B4
ICTSS,24,B1
ICUIMC,10,B4
ICUMT,10,B4
ICVES,8,B4
ICVS,26,B1
ICVS_A,16,B2
ICWE,28,B1
ICWET,5,B4
ICWI,16,B2
ICWL,14,B3
ICWMC,14,B3
ICWN,17,B2
ICWS,58,A1
ICWSM,26,B1
IDA,21,B2
IDAACS,9,B4
IDC,16,B2
IDC_A,9,B4
IDEAL,20,B2
IDEAS_A,28,B1
IE,5,B4
IECON,36,B1
IEEEIS,22,B1
IEEEIT,63,A1
IEEERFID,12,B3
IESA,11,B3
IESS,5,B4
IESS_A,1,B5
IFAC,12,B2
IFIPAI,3,B5
IFL,2,B3
IFM,24,B1
IFSA,26,B1
IGARSS,14,B1
IGCC,9,B4
IGIC,1,B5
IGIP,4,B4
IH,26,B1
IHC,10,B4
IHI,6,B4
IITSI,5,B4
IIWAS,12,B3
IJCAI,90,A1
IJCAR,36,B1
IJCBS,5,B4
IJCNLP,20,B2
IJCNN,46,A2
IKE,10,B4
ILP,27,B1
IM,32,B1
IMAGAPP/IVAPP,2,B5
IMC,93,A1
IMCSIT,10,B4
IMF,5,B4
IMR,28,B1
IMS,4,B4
IMSA,10,B4
IMS_A,4,B4
INA-­‐OCMC,3,B5
INAP,7,B4
InCoB,1,B5
INDIN,12,B3
INDOCRYPT,30,B1
INEX,8,B4
INFOCOM,204,A1
INFORMS,3,B5
INLG,21,B2
INOC,10,B3
InSITE,6,B4
INTED,4,B4
INTERACT,30,B1
Interspeech,80,A1
IOLTS,25,B1
IPAW,20,B2
IPCCC,24,B1
IPCO,26,B1
IPCV,10,B4
IPDPS,73,A1
IPDS,7,B4
IPEC,20,B2
IPMU,16,B2
IPOM,9,B3
IPPS,71,A1
IPSN,88,A1
IPT,9,B3
IPTPS,63,A1
IQIS,15,B3
IR,2,B5
IRI,21,B2
IRMA,6,B4
IROS,58,A1
IS,4,B4
ISAAC,27,B1
ISADS,25,B1
ISAM,11,B3
ISBI,34,B1
ISBRA,11,B3
ISC,37,A2
ISCA,110,A1
ISCAS,159,A1
ISCC,43,A2
ISCIS,18,B2
ISCO,3,B5
ISCRAM,9,B4
ISC_A,2,B5
ISD,3,B4
ISDA,16,B2
ISDPE,7,B4
ISECON,6,B4
ISECS,10,B4
ISER,7,B3
ISI,27,B1
ISIC,15,B3
ISICA,9,B4
ISIE,32,B1
ISIMP,16,B2
ISIPTA,21,B2
ISIT,31,B1
ISITA,14,B3
ISLPED,66,A1
ISM,19,B2
ISMAR,48,A2
ISMB,91,A1
ISMIR,61,A1
ISMIS,21,B2
ISMM,25,B1
ISMM_A,25,B1
ISMP,4,B4
ISMVL,21,B2
ISoLA,7,B4
ISORC,33,B1
ISPA,13,B3
ISPASS,32,B1
ISPD,42,A2
ISPDC,17,B2
ISQED,34,B1
ISRA,24,B1
ISRE,19,B2
ISRR,3,B4
ISSADS,7,B4
ISSCC,28,B1
ISSCS,12,B3
ISSDQ,6,B4
ISSPA,8,B3
ISSRE,41,A2
ISSTA,52,A2
IST,6,B4
ISTA,11,B3
ISVLSI,29,B1
ISWC,89,A1
ISWC_A,47,A2
ISWPC,22,B1
ISWSA,2,B5
ITAT,5,B4
ITBAM,3,B5
ITC,62,A1
ITEM,4,B4
ITHE,5,B4
ITHET,13,B3
ITiCSE,35,B1
ITNG,22,B1
ITP,10,B4
ITRE,16,B2
ITS,17,B2
ITSC,25,B1
ITS_A,10,B4
IUI,62,A1
IUKM,1,B5
IV,32,B1
IVA,30,B1
IVCNZ,10,B4
IV_A,4,B4
IWANN,20,B2
IWCC,8,B4
IWCIA,10,B4
IWCMC,25,B1
IWCS,7,B3
IWFHR,22,B1
IWLS,19,B2
IWOS,10,B4
IWPSE,23,B1
IWPT,13,B3
IWQoS,44,A2
IWSCA,5,B4
IWSM-­‐MENSURA,7,B4
IWSSIP,8,B4
JADT,6,B4
JCDL,53,A2
JCIS,18,B2
JDP,1,B5
JELIA,30,B1
JIISIC,4,B4
JMLC,13,B3
JSSPP,32,B1
JTRES,12,B3
JURIX,12,B3
K-­‐CAP,34,B1
KAMC,3,B5
KDD,133,A1
KES,27,B1
KES-­‐AMSTA,13,B3
KR,46,A2
KSEM,11,B3
LA-­‐WASP,4,B4
LA-­‐WEB,19,B2
LACLO,3,B5
LADC,12,B3
LAGOS,4,B4
LANC,6,B4
LANMAN,17,B2
LANOMS,7,B4
LARS,8,B4
LASCAS,2,B5
LATA,12,B3
LaTeCH,1,B5
LATIN,26,B1
LATINCOM,5,B4
Latincrypt,5,B4
LATINTCS,25,B1
LATW,8,B4
LAW,13,B3
LCN,48,A2
LCPC,9,B4
LCTES,34,B1
LDTA,7,B4
LFCS,12,B3
LICS,52,A2
LIGHTSEC,3,B5
LINZ,6,B4
LION,9,B4
LoCA,21,B2
LocWeb,8,B4
LOPSTR,2,B3
LPAR,32,B1
LPNMR,30,B1
LREC,49,A2
LSFA,5,B4
m-­‐ICTE,2,B5
M4M,5,B4
MABS,11,B3
MASCOTS,42,A2
MASS,35,B1
MATA,17,B2
MATES,17,B2
Matheuristics,5,B4
MCCSIS,2,B5
MCM,4,B4
MCO,7,B4
MCS,34,B1
MDA/MDM,39,A2
MDAI,15,B3
MDM,38,A2
Med-­‐Hoc-­‐Net,7,B4
MEDINFO,27,B1
MESH,5,B4
META,2,B5
METMBS,8,B4
MEWS,1,B5
MFCS,33,B1
MFI,16,B2
MFPS,2,B4
MGC,13,B3
MIC,13,B3
MICAI,19,B2
MICCAI,56,A1
MICRO,86,A1
Middleware,49,A2
MINES,4,B4
MIS,10,B4
MISTA,3,B5
MKM,20,B2
ML,12,B3
MLDM,19,B2
MLMTA,9,B4
MLSP,16,B2
MMAR,4,B4
MMBIA,21,B2
MMCN,9,B3
MMEDIA,6,B4
MMM,22,B1
MMNS,15,B3
MMSP,12,B2
MMSys,11,B3
MMVR,4,B4
MobiCASE,5,B4
MOBICOM,112,A1
MobiDE,20,B2
MOBIHOC,110,A1
MobileHCI,42,A2
MOBILITY,13,B3
MOBIMEDIA,9,B4
Mobiquitous,32,B1
MobiSys,66,A1
MobiWac,15,B3
MODELS,54,A2
MoDISE-­‐EUS,3,B5
MODSIM,12,B3
MOMPES,9,B4
MoodleMoot,2,B5
MOPTA,1,B5
MPAC,14,B3
MPC,22,B1
MPOOL,3,B5
MS,8,B4
MSA,1,B5
MSC,3,B5
MSE,10,B4
MSN,14,B3
MSR,32,B1
MSV,6,B4
MSVVEIS,7,B4
MSWIM,35,B1
MTAGS,7,B4
MTSR,5,B4
MTSummit,18,B2
MTV,11,B3
Multimedia,83,A1
MULTIPROG,2,B5
MUM,21,B2
MVA,15,B3
MWC,13,B3
MWE,14,B3
MWSCAS,26,B1
NAACL,73,A1
NAFIPS,15,B2
NANO,7,B4
Nanoarch,8,B4
NAS,10,B4
NCA,31,B1
NCIS,2,B5
NDSS,64,A1
Net-­‐Con,6,B4
NETCOM,4,B4
NetGames,34,B1
Networking,31,B1
NEW2AN,13,B3
NEWCAS,8,B4
NFM,7,B4
NGITS,7,B4
NIDISC,1,B5
NIME,32,B1
NIPS,88,A1
NLDB,22,B1
NLP-­‐KE,5,B4
NLPCS,4,B4
NMR,20,B2
NOCARC,5,B4
NOCS,28,B1
NOMS,37,A2
NORCHIP,15,B3
NordiCHI,35,B1
NOSSDAV,41,A2
NPAR,39,A2
NPC,12,B3
NSDI,69,A1
NTMS,10,B4
NWeSP,14,B3
NyirCrypt,2,B5
OASICS,3,B5
OASIS,1,B5
OBI,6,B4
ODBASE,5,B3
ODBIS,4,B4
ODP,1,B3
OKCon,2,B5
OL,4,B4
OM,24,B1
ONISW,5,B4
ONTOSE,3,B5
OOIS,16,B2
OOPSLA,76,A1
OPODIS,19,B2
OPTIM,9,B4
OptMAS,1,B5
OR,5,B4
OSDI,76,A1
OSS,16,B2
OWLED,26,B1
OZCHI,22,B1
P2P,46,A2
PAAMS,9,B4
PAAP,3,B5
PACCS,5,B4
PACIFICVIS,11,B3
PACT,53,A2
PADL,30,B1
PADO,10,B4
PADS,27,B1
PADTAD,14,B3
PAKM,19,B2
PAM,40,A2
ParCo,14,B3
PATAT,12,B3
PATMOS,17,B2
PBG,18,B2
PCNS,2,B5
PCS,25,B1
PDC,22,B1
PDCAT,18,B2
PDCS,5,B3
PDMC-­‐HIBI,6,B4
PDP,27,B1
PDPTA,21,B2
PE-­‐WASUN,21,B2
PEPM,25,B1
PERCOL,30,B1
PerCom,54,A2
PEREL,23,B1
PERFOMANCE,10,B4
PERVASIVE,48,A2
PETRA,12,B3
PG,40,A2
PhiSE,3,B5
PIMRC,60,A1
PKAW,6,B4
PKC,54,A2
PKDD,52,A2
PLC,7,B4
PLDI,98,A1
PLoP,10,B3
PODC,61,A1
PODS,69,A1
PoEM,7,B4
POLICY,39,A2
POPL,89,A1
PPDP,32,B1
PPoPP,53,A2
PPSC,6,B4
PPSN,46,A2
PPSWR,18,B2
PQCrypto,11,B3
PRDC,23,B1
PRIS,13,B3
PRO-­‐VE,13,B3
PROFES,22,B1
ProMAS,11,B3
PROPOR,15,B3
PSB,57,A1
PSC,8,B4
PSIVT,13,B3
PST,18,B2
PWC,24,B1
QEST,27,B1
QoSA,2,B5
QSHINE,17,B2
QSIC,24,B1
Qsine,17,B2
QUATIC,7,B4
RADECS,12,B3
RAID,53,A2
RANDOM,24,B1
RANLP,17,B2
RAW,5,B3
RCIS,10,B4
RE,55,A1
RECOMB,54,A2
RECONFIG,9,B4
ReCoSoC,9,B4
RecSys,29,B1
REET,3,B5
REFSQ,15,B3
RFID-­‐TA,5,B4
RIDE,24,B1
RO-­‐MAN,22,B1
ROBIO,22,B1
ROBOCOMM,10,B4
RR,15,B3
RRS,4,B4
RSA,11,B1
RSP,20,B2
RSS,39,A2
RST,18,B2
RST_A,2,B5
RTA,33,B1
RTAS,42,A2
